北京汉丽轩自助烤肉火锅超市(香港城店),0391-3127177,解放区解放中路香港城四楼
欧曼尼(景文店),0391-3872222,沁阳市景文润泰超市楼下
朝天门火锅(武陟店),0391-7299000/15939111118,武陟县朝阳二街龙泉湖一号商业街（龙泉湖西侧）
寿司小铺,13462831687,山阳区327国道苏家作世纪华盛生活广场南邻
五谷渔粉(新焦作大学店),13353910888,山阳区人民路东段新焦作大学对面亿祥东郡商铺A1-6
花甲哥?爱虾客重庆老火锅,0391-2905534/15939147140/15039153733,解放区解放路与新华街交叉口往南150米路东
冯家老北京火锅 麻辣龙虾(人民路店),18790230302,山阳区人民路与南阳路交叉口向北50米路东（山阳区政府东邻）
正新鸡排(欧凯龙店),13303913335,山阳区塔南路山阳商城临街六号楼101号（由南向北第七间）
一口香老店,15978799400,沁阳市怀府西路卫生局正对面（景文百货斜对面）
啤佬精酿鲜啤,400-008-5519,山阳区摩登街8号楼A05室（摩登街东段路北）
糖半甜,17739519948,解放区青年路河南理工大学北校区东门内
半天妖烤鱼(焦作店),0391-6360066,解放区三维月季公寓南门口
杨铭宇黄焖鸡米饭(卫校西街店),0391-3657000,解放区月季公园卫校西街月季花苑西50米
仙芋传奇,15738541764,解放区人民路王府井六楼
阿利茄汁面(汽车站店),0391-5195952,沁阳市怀府中路与沁园北路西北角汽车站对面（亚星楼下海尔隔壁）
上吉铺黄焖鸡米饭,15639168365,山阳区世纪大道理工大学南门对面
德克士(沁阳景文店),0391-3878866,沁阳市建设路与怀府路交叉口景文百货一楼
华莱士(武陟店),0391-7235887,武陟县红旗路胖发祥购物广场北行70米
正新鸡排(其军2店),18839186137/18839158408,山阳区和平东街矿山小区32号楼（和平东街消防队斜对面）
甜心蛋糕房,18239181621,修武县湖南大碗菜南行十米路口西行二十米路南（二胖擀面皮）
蜜丝语,15225847009,山阳区人民路亿祥东郡壹里洋场16-2商铺（新焦大斜对面中信银行北50米路东）
德克士(丹尼斯店),0391-3382222,山阳区塔南路与人民路交叉口丹尼斯生活广场1楼西门
重庆鸡公煲(菜市街店),15239018650,温县温泉路中段
米多菜多,15993790635,孟州市将台街北段路东华人造型正对面
王婆大虾主题餐厅(温县一店),0391-6168787,温县黄河路西段（银苑大酒店）斜对面
图安大盘鸡,18037023297/13782734607,山阳区人民路与山阳路交叉口豫龙商贸城西口进路南第二家（红歌王楼下）
牛牛炒鸡,13623917184,沁阳市香港街清华园南50米路东（太行新城斜对面）
花千代秘制烤鱼(万达店),0391-2606688/18339123675,解放区民主南路与丰收路交口万达广场4楼4036-4037号
罗佳烘焙(卫校西街店),0391-2622809,解放区卫校西街月季农贸市场东门正对面
小马车秘制花甲,13949672172,武陟县和平路老胖发祥斜对面路西（小马哥金钱麻辣爆肚门前）
味中味蛋糕店(农坛路店),0391-8181289/18137219186,孟州市焦作农坛南路与韩愈大街交叉处北行50米
又卷烧饼(万达广场店),13633810821,解放区民主南路与丰收路交叉口万达广场四楼
娜娜大盘鸡餐厅(温县店),15343916663,温县人民路中段桂花花园北一百米
蛙哇哒?炭烧牛蛙(摩登街店),0391-8881117,山阳区塔南路与摩登街交叉口向东80米路北
嘿糖鲜奶茶饮,15514770386/17634871237,解放区丰收路万达广场3楼东北角（万达宝贝早教中心对面）
皇中百岁鱼,0391-3888886,山阳区山阳路老体育馆东门对面中弘名都城门面房
舒来喜(太行大道店),0391-5669369,沁阳市太行大道文化路口南110米路西（神农山大酒店斜对面）
王先森黄焖鸡米饭,0391-2945550,中站区跃进路多氟多小区1号商住楼8号（大张惠利佳超市西200米路南）
行货培根虾仁饭(沁阳店),0391-5615566,沁阳市步行街南口西50米路北
福满园蛋糕花园,15893028549,博爱县中山路清化医院西30米路南
西安正宗牛羊肉泡馍,13903914560,沁阳市焦百生活广场东面胡同内（中天欧亚路102号）
三宝生煎,13782612369,山阳区解放东路第一小学南30米（焦作十七中西50米向南）
清真速味居黄焖鸡米饭(玫瑰城店),18739155315,沁阳市玫瑰城购物公园A区1层1031号
N多寿司(沁阳店),13333917616,沁阳市自由门与步行街交叉口西20米路南
思味源云南过桥米线黄焖鸡米饭,13124058658,解放区青年路24号
渔?花甲,17339195030,解放区和平街景文百货西100米路南
洛丽塔烘焙坊,18039139262,武陟县懿品苑西门向南200米路东3号108号商铺
清真口口香(圪?店),15239042226,武陟县中心大街清真寺路口向东88米
五谷渔粉(万鑫商城店),18639177025/18639771663,山阳区韩公路与玉溪路交叉口向东20米路南
翰丰宴(师苑店),0391-3390888,山阳区山阳路998号（山阳路与人民路十字口东南）
寿司小铺,13137179411,博爱县香港街东头第三家（新世纪超市附近）
宝岛鸡排,13938199942,沁阳市人和北路1号（人和北路与怀府路交叉口）
卡其诺,15039163725/13939195470,武陟县北花坛红旗路电业局正对面
华美士炸鸡汉堡餐厅(温县店),0391-6185608/15239009026,温县太行路凤凰城胖发祥超市东临
N多寿司,15565613366/15139177766,武陟县朝阳一路老胖发祥东侧（农商银行对面）
润福源澳门豆捞,0391-5639777,沁阳市七彩柱向南300米路西（阳光假日小区南门口）
小猪小牛章鱼水煎肉,0391-2176906,解放区民主南路万达广场4楼
李记干锅鹅翅,13849590039,解放区友谊路平光家属院对面
京福华新煮义火锅餐厅(温县店),0391-6180008,温县振兴路二建家天下西区北门（县武装部东邻）
聚福斋北京果木烤鸭(豫轮店),18439197578/13103914565,山阳区定和街道工业东路轮胎厂医院桥头东15米路北
麻婆豆腐山味餐饮(卫校西街店),13782612588,解放区新园路与卫校西街交叉口向南200米路东
北京果木烤鸭,13283913353,解放区解放中路胜利街中段金德利大厦东口南50米
七若滋烘焙(北苑店),0391-3592059,山阳区解放中路远大南北苑北苑门口向西10米路北
金桂园艺术烘焙(博爱店),0391-8680899,博爱县中山路与葵城路交叉口向西五十米路北，宏基中心广场一楼
N多寿司(理工大学店),13103611101,山阳区理工大新校区西门150米路北（中国邮政旁边）
一棵树麻辣烫,15565615000,沁阳市沁园北路与怀府中路交口东北角（沁阳汽车站东门对面银莎楼下）
魔锅坊麻辣香锅,15993788031,孟州市黄河大道与汇丰步行街交叉口向南50米路西
西雅图音乐西餐厅,0391-8626868,博爱县?源小区东门向北50米路西
舟友沸腾渔港,0391-2526123,解放区民主南路万达广场四楼
穆泉羊火锅,0391-3853333,解放区大杨树商业街MUSE国际会所对面
川西坝子四川名火锅,0391-3900555,山阳区摩登街西口大商超市二楼
皇后蛋糕房(中山路店),15690636115,博爱县中山路中段原老棉麻公司重阳路对面
清香居正宗黄焖鸡米饭,0391-7688699/13523372323,武陟县朝阳一街与和平路交叉口向南20米欢乐谷KTV楼下
巴庄重庆火锅(温县店),0391-6180800,温县慈胜大街北段14号（近慈胜大街）
韩味轩烤冷面,15839117679,解放区学生路小吃街老庙银楼北10米路西
娲城王婆大虾(沁阳旗舰店),0391-6368999,沁阳市太行大道七彩柱北200米路东（音乐广场东对面）
HAPPY.CAFE(幸福海岸咖啡厅),0391-7615333/15978777731,武陟县朝阳二街龙泉湖一号商业街（龙泉湖西侧）
五谷渔粉(铜马店),13137184003,解放区铜马十八中斜对面中州巷口
正宗黄焖鸡米饭,17339109711/17737092296,武陟县和平路老胖发祥超市向北20米路西
毛氏湘菜馆,15664308854,修武县竹林大道老一中转盘往南100米路西
满天星火锅坊(兴华路店),0391-7269898,武陟县木栾大道与兴华路交叉口东200米路南
小厨房黄焖鸡米饭,0391-2950102,山阳区新焦大对面亿祥东郡商业街
辣妹自选烫菜,13903899927,山阳区解放中路东方红东方百货四楼
大长垣(南阳路店),0391-3551888,山阳区新丰一街与人民路交叉口向南200米路东
德克士(武陟新胖发祥店),0391-7272899,武陟县红旗路新胖发祥购物广场一楼(近供销大厦)
N多寿司(合欢路岔口店),15039152560,孟州市西河阳大街与合欢路交叉口向东10米路北
胡闯渔粉,13839159697,修武县金中步行街德克士向东10米路北
清阁苑食府(西域店),0391-2765999,解放区解放西路与普济路交叉口西南角
悦涮捞百姓海鲜火锅,18903918009,山阳区人民路壹里洋场第三章鲈鱼店对面
法门寺小吃店,13782859236,孟州市河阳市场北口路16号（玉都酒店斜对面）
麻婆豆腐,0391-3905008,山阳区东二环路中段倚新苑小区北邻
牛火火火锅工厂,0391-3923666,解放区民主中路第18中学斜对面平原光电院内
正新鸡排(沁阳实验小学店),13782661200/15346139499,沁阳市怀府西路实验小学十字路口西南角
鲜寿司(塔南路小学店),15639196985,山阳区和平街塔南路交叉口西50米路北
吾麦道特色面馆,18317257910/18317251870,山阳区龙源湖东门农村信用社向东200米路北
娜娜大盘鸡,13253885441,沁阳市崔庄十字路口西行20米路北
宁夏胡羊排,0391-2942518,中站区解放西路景文百货中站店西邻
九群狼黄焖鸡米饭(摩登街店),0391-8311622,山阳区新城街道中海摩登商业街8-1号
德克士(修武金中店),0391-7118880,修武县七贤大道金中步行街（百货大楼南50米路东）
艺新红沙龙蛋糕房,0391-3991390/13507675255,山阳区解放路山阳建国斜对面
正新鸡排(好爱家店),15838907718,中站区解放西路怡光园小区沿街商铺
渔人节烤鱼(玫瑰城店),15938166533,沁阳市怀府西路玫瑰城三楼
春姐热干面,15639178093,山阳区理工大西门第一个十字路口左转50米路东（距离KTV对面）
金桂园艺术烘焙(会昌路店),0391-8101866,孟州市会昌南路与西韩愈大街交叉口南50米路东1层（新合作超市楼下）
程守业酱烧牛肉面(政二街店),0391-3371188/18239102327,解放区政二街丰泽园小学对面
花花酱手工烘焙工作室,15239155180,武陟县木栾大道龙泉湖花卉市场一楼6号
重庆巴爷香辣鸡煲虾煲,13629859001/13393885652,博爱县麻庄村口葵城路路东（卫生局斜对面）（望慈老北京涮羊肉正对面）
签约音乐串吧主题餐厅,0391-6301111,温县子夏大街春城华庭楼下
豫索记麻辣烫,13782614233,沁阳市怀府路音乐广场对面虾巢香辣虾西临
孙记黄焖鸡米饭,0391-2911018/13782768028,解放区百货楼红绿灯北100米（老供电局门口路南）
鱼乐?清真(站前路店),0391-3908999,解放区站前路与南通路交叉口东20米路南
镇江鸭血粉丝汤,15939131701,解放区解放中路三维金脚丫旁边
金华旗(民主中路店),0391-3393384,解放区民主中路与学生路交叉口西南角
韩风源烧烤涮自助餐厅(武陟国贸店),0391-2046190,武陟县沁河路与和平路交叉口武陟国贸中心三层
馍饭先生骨汤麻辣烫,13782755787,博爱县清化镇中山路幸福商业广场（汉釜宫楼下）
卡米欧咖啡,0391-2787999,山阳区人民路亿祥东郡壹里洋场2号楼2层20号
福临自助烤肉涮,0391-5617088,沁阳市怀府中路玫瑰城购物公园3楼
黑泷堂,17698701697,解放区香港城步行街屈臣氏西20米路南
