店铺名称,联系电话,详细地址
华莱士(端州昌大昌店),0758-2721517,端州区端州三路城东车站斜对面昌大昌商场右侧（往黄岗方向100米）
大喜屋回转寿司,0758-2585333,端州区端州四路8号
比兹堡,0758-3118965,四会市清东路12座1号
嘉美乐(肇庆学院店),0758-2862880,端州区肇庆学院大门口东侧西起第A22号商铺
华莱士(德城店),0758-7798258,德庆县朝阳中路原嘉华商场东侧起8-9卡商铺
老西安餐厅,0758-2308598,端州区端州四路8号（凯德广场3楼）
趣维斯炸鸡汉堡(南岸店),0758-8208470,高要区广新二路广新大厦2号铺
豪客来牛排(肇庆凯德店),0758-2828869,端州区端州四路8号凯德广场3楼（沃尔玛三楼）
和记牛奶甜品专家,0758-2528797,端州区端州四路丽湖居8栋2卡（凯德广场东面出口对面）
旺记猪肚鸡(肇庆信安店),0758-2260698,端州区信安大道圣地名轩首层11号商铺（交警支队斜对面）
大羽记创意甜品(凯德店),0758-2238660/18922631367,端州区丽湖居首层商铺（凯德广场东门对面）
冠菌自助火锅(大旺广场店),18575800593,四会市大旺广场二楼
探炉烤鱼(肇庆凯德店),0758-2285818,端州区端州四路凯德广场3楼沃尔玛入口（阪尚皇旁边）
黄记煌三汁焖锅(凯德广场店),0758-2301008,端州区端州四路凯德广场3楼(近肇庆汽车总站)
华莱士(环城店),0758-5875468,怀集县环城镇环城西路城西市场自编号A9卡
冠菌火锅(益华国际店),0758-2788848,端州区信安大道84区
佐敦道(南岸直营店),0758-8398113,高要区南岸广新一路和南亭路路口
星酒店舟西餐厅,0758-2232333,端州区星湖国际广场二期星酒店三楼
华莱士(肇庆康乐路店),0758-2822517,端州区康乐中路海日宾馆旁
佐敦道(星湖国际直营店),0758-2239301,端州区端州四路10号星湖国际广场首层商场J007B号铺位
悦禾蛋糕店(华英店),0758-2728982/18319930312,端州区公正路华英新城J区8幢B8号商铺
佐敦道(宝月直营店),0758-2229233/18707584622,端州区宝月路1号N区首层第九卡（忠勇路与宝月路交叉口东南角，宋城一路中国银行斜对面）
Foodies?堂,0758-2278008,端州区端州五路2号时代广场AB区
华莱士(光明店),0758-3295509,四会市光明南路13号之3首层1号
波士顿芝士龙虾牛扒自助餐厅,0758-2839189,端州区端州五路广百时代广场一楼正门下楼梯中庭左转
嘉美乐(南岸店),0758-2862880,高要区南岸南亭路下岸综合楼首层铺位第十卡
彼德比萨(四会清塘店),0758-3383299/18027808508,四会市清塘大道华苑酒家旁（海伦城市广场往马田红绿灯方向80米）
华莱士(棠岗店),0758-2777909,端州区棠岗路77区荷苑楼1-2卡铺
裕满石锅鱼餐馆(时代广场店),0758-2914188,端州区端州5路2号时代广场1-A40卡（时代首层东北门侧）
华莱士(建设三路店),0758-2272302,端州区建设三路与柑园南路路口交界处农业银行对面（大参林药店旁）
客家言客家菜(凯德广场总店),0758-2323330,端州区端州四路8号凯德广场一楼
趣维斯炸鸡汉堡(城东店),0758-6105533,端州区柳园南路口城东公园南门对面
东胜客河鲜店,13679563071/13602971449,端州区景福围羚羊峡羚山古栈道东侧50米（近景福围）
华莱士(怀集店),0758-5533856,怀集县怀城镇工业大道二路9-10号铺（怀集店）
渔目寿司,0758-2213228,端州区端州四路凯德广场一楼
佐敦道(工影直营店),0758-2239050,端州区天宁北路76号工人影院商场爱食街第2卡
正新鸡排(星湖店),18820365205,端州区文明路星湖国际广场北门5梯
水巷口河粉(沙墩路店),0758-2754275,端州区沙墩路2号（近古塔派出所）
华莱士(白土振兴店),0758-8176766,高要区白土镇振兴路6号之一（高要农商银行对面）
百宴自助餐厅,0758-8398985,高要区南亭路与广新路交界处（步行街街口）
逸香居紫砂美食,0758-3371832,四会市广场北路盈峰国际24号商铺
华莱士(金渡店),0758-8520165,高要区金渡镇金沙路农业银行侧边第一、第二卡位中盛大酒店正对面
月伴湾西餐厅(嘉湖店),0758-2261888,端州区星湖大道嘉湖新都市三期乐湖居5B幢3-首层05号商场
黎氏皇鸡脚(康乐店),13556548417,端州区康乐北路5巷28号
倾城密码(星城广场店),0758-2722386,端州区端州三路南侧16号星城广场01层02号
佐敦道(康乐店),18316117935,端州区康乐北路康乐国际广场公交站后面
我和你西餐厅(碧海湾广场店),0758-3208999,四会市碧海大道碧海湾名店城首二层（近碧海湾大桥）
桂香苑(大塘店),0758-6682779,封开县江口镇大塘一路6号104-105铺
鹿儿岛啡言.包语(会城店),0758-3320168,四会市光明大道1号
华莱士(坑口店),0758-6131244,鼎湖区福龙街54号
多美丽,0758-3355088,四会市建设路马田市场二楼（万乐福商场入口左侧）
倾城密码(大唐店),0758-2822275,端州区星湖大道六路36号大唐盛世第一幢（G幢）首层06号商铺
赖胖子肉蟹煲,0758-2728285,端州区端州四路印象汇8号三楼
华莱士(拱桥店),0758-3337377,四会市拱桥街与龙江路交叉口西北方向200米
烤肉先生(合百利广场店),0758-2239239,端州区天宁北路63号合百利广场四楼003G铺
茶知客(百花园店),0758-2825718/18128087971,端州区西江北路33号（体育中心西门对面路口直入30米）
华莱士(金时代店),0758-8525588,高要区金利镇金龙大道金盛大酒店斜对面
名城酒楼,0758-2707888,端州区人民中路12号（人民中市场对面）
超群蛋糕(体育中心东门店),0758-2528124,端州区康乐北路36号鸿福新村B幢首层第9-10卡商铺
淼鑫猪肚鸡,0758-2288180,端州区城东街道端州四路山水时尚酒店（广东端州路店）旁
华莱士(凤山店),0758-3106066,四会市凤山路1座1号
黎氏皇鸡脚(跃龙店),13536988193,端州区公正路华英新城E区（朗晴苑）2幢26号商铺
汉釜宫,0758-5865010,怀集县怀城镇河南中路城市广场三楼
小龙坎老火锅(好世界店),0758-2282279,端州区天宁北路63号好世界购物中心二层第001-004/005A、006A、007A号铺位
华莱士(四会东城店),0758-3119097,四会市名店汇商业步行街E01商铺
舞茶道茶饮(中豪广场店),0758-3329833,四会市中豪广场正门前商铺（中域电讯 万格电讯）
牛魔王(大润发店),0758-2268067,端州区大润发对面牛魔王
佳客来牛排专家(建设三路店),0758-2267677,端州区建设三路34号（与文明路交汇口）
公牛爵士餐吧,0758-2255252,端州区星湖西路7号（星河豪苑对面）
醉爱酸菜鱼,18818505855,端州区端州五路2号时代广场AB区1-A41卡商铺（一楼东侧原裕满海鲜鲍鱼鸡）
匠心渔居酒屋(广百店),0758-2106543,端州区广百时代广场一楼西门（即蒲典美发隔离入口）
心悦ENJOY(柑园南分店),0758-2205022,端州区建设三路柑园雅苑2幢首层29卡
金钻大酒店湖景阁西餐厅,0758-2525988/2526888,端州区端州三路32号（近检察院）
西树泡芙(凯德店),15919000847,端州区端州四路8号凯德广场二楼K08号（小吃街）
尊尚比萨,0758-5868871,怀集县沿江中路雅豪居A幢首层07号（即幸福大桥邮政银行右侧50米）
善缘自助素食馆,0758-2761403,端州区碧湖广场2楼（原你我他她火锅）
圆润四季椰子鸡主题餐厅(西江路总店),0758-2224111,端州区西江北路蕉园岗
农夫烧鸡(西江路店),18312794627,端州区西江路7号（医专对面、大富豪宾馆侧）
非烤勿扰自助烤肉海鲜火锅(肇庆店),0758-2711198,端州区端州三路23号星城广场四楼10号
烤尚宫韩式自助烤肉,15819296195,四会市：四会市东城区清塘大道二十三座108号海伦城市广场04-02-cs-013号
月伴湾西餐厅(星荷店),0758-2808888,端州区星荷路星荷豪苑L幢楼下伴月湖公园旁（近伴月湖公园）
传记拉肠(建设店),13719152356,端州区建设三路55号首层（中心市场入口右侧100米）
米拉提牛肉海鲜餐厅,0758-2227983,端州区天宁北路好世界四楼米拉提火锅餐厅
喝喝?一杯专属你的茶(星城店),0758-2528890,端州区端州三路肇庆星城广场首层（停车场出口）
念力寿司(工影店),0758-2250777,端州区天宁北路工人影剧院2楼
名典咖啡语茶餐厅(四会店),0758-3115118,四会市广场北路茗雅荟1座二楼
华莱士(金利店),0758-8531081,高要区金利镇城北路51-4号（金利市场对面金利大厦一楼）
华莱士(新桥店),0758-8471557,高要区新桥镇联兴路78号弘升商业广场12、13号铺
赵记传承,0758-2287226,端州区天宁北路23号天宁广场A、B、C幢首层A10A、A10B商铺
佳兹堡(封开一店),0758-6688368,封开县蝴蝶塘路1号（1店）
汉釜宫韩式自助烤肉(大旺广场店),0758-8995998/13376553782,四会市工业大街大旺广场三楼
真功夫(天宁店),0758-2319818,端州区天宁北路73号（儿童公园旁）
嘉美乐(黄岗店),0758-2862880,端州区端州二路河旁综合楼首层1-2卡
倾城密码(康乐路店),0758-2796678,端州区康乐北路西侧市体育中心东北角东门商业街首层第24卡
奇味鸡煲王,13727233037,端州区工农北路巴黎春天外街商铺第12卡（桥东市场斜对面）中国银行隔壁
鸿鑫猪肚鸡,0758-2225665,端州区康乐北路东侧52区万业大厦附属楼2楼（大参林楼上）
运远雪糕,15813992983,端州区端州二路87号（黄岗中国银行旁）
佐敦道(龙城直营店),0758-3118185,四会市龙江路3号二座（首层第3卡）
西尊比萨(建设三路店),0758-2528726/2528672,端州区建设三路34号嘉盈居首层10、11号商铺（佳客来旁边）
杨国福麻辣烫(星湖店),0758-2256968,端州区端州四路星湖国际广场对面（中国邮政储蓄东侧）
黎氏皇鸡脚(黄岗店),13672357317/13536988193,端州区端州二路西3-4号
小桥喜宴,0758-3311111,四会市清塘大道海伦城市广场2楼（家乐福旁）
小城大厨(广百店),0758-2266799,端州区端州五路2号广百时代广场4楼（近购书中心）
星厨乐,15875811431/15818110724,鼎湖区水坑平安西街（鼎湖医院斜对面）
倾城芝语(棠岗店),0758-2222398,端州区68区棠岗路西侧A幢首层A107室
华莱士(南岸新星街店),0758-8238017,高要区新星街34号商铺
嘉美乐(总店),0758-2862880,端州区端州七路北三茂铁路桥底东侧
佐敦道(人民中路直营店),0758-2834562,端州区人民中路8号B幢首层十一卡商铺
咕噜噜(好世界店),18344042479,端州区天宁北路儿童公园南侧第二卡之第06卡（即好世界小食街内）
华莱士(中华店),0758-8622567,广宁县中华西路71号第2-3卡铺
小东北饺子馆凯德广场店,0758-2224980,端州区端州四路凯德广场首层东门（金草帽对面）
嘉美乐(康乐店),0758-2856880,端州区康乐北路18号第1幢17-19（A-D）轴
华莱士(中信广场店),0758-8533235,高要区金利镇金贸东路117号（二马路）中信广场斜对面
优思顿法式烘焙屋,0758-2717599/18025820918,端州区端州三路帝和豪庭一栋8卡
大鼓米线(凯德广场店),0758-2213992,端州区端州四路8号凯德广场1楼南门第一卡
ANGEL TEA HOUSE 安琪尔茶屋,0758-6925207,端州区端州三路星城广场四楼
我家蛋糕店,0758-2238689/13727205656,端州区碧湖广场农商银行侧入30米
潮汕汤粉王,13827589236,端州区康乐北路7号
佐敦道(华英新城直营店),0758-2823459,端州区公正路华英新城J区J8幢B11号商铺（一层与二层之间）
倾城芝语(凯德店),0758-2799808,端州区端州四路8号凯德广场首层01-36A铺
正新鸡排(四会店),13612592928,四会市中山路63号（缤纷国际商业街旁）
?鱼肴(四会广场店),0758-3373990,四会市四会大道南6号四会广场三楼3081铺
信天游餐馆(肇庆店),0758-2843371,端州区端州七路36号
心悦蛋糕店(康乐店),0758-2216122,端州区康乐北路16号（国际广场对面）
一楼后座,0758-2288810/13929892365,端州区端州三路星城广场1楼
奥威斯酒店西餐厅,0758-2888888,端州区星湖大道奥威斯酒店一楼
爷茶 GRANDPA,0758-2256168/17806549093,端州区端州四路10号星湖国际广场二期工程首层商场B1038号铺位
原?寿司,0758-2560065/18027805820,端州区端州四路丽湖居第六幢第三卡（凯德广场旁）
八点八尚品茶楼,0758-2224336,端州区西江北路36号路港大厦4楼山水（时尚酒店四楼，体育中心西门对面）（体育中心对面）
柳厨螺蛳粉?锡纸花甲粉(康乐店),13827559549,端州区康乐北路20号（国际广场正对面）
兄弟尚品创意餐厅,0758-5875186,怀集县国泰路怡景苑2楼B1铺（大时代网吧旁边审计局对面）
佐敦道(棠岗直营店),0758-2815134,端州区棠岗路颂德路1号
华莱士(禄步店),0758-8253766,高要区禄步镇新龙中路35号
新海堂富兴饼店(前进店),0758-6819320,端州区建设二路17号第18卡
茶知客(黄岗店),0758-2704677,端州区黄岗街道办河旁长湖村端州二路100号
华莱士(建设二路店),0758-2528543,端州区建设二路8号经济综合大楼4-5卡铺（景艺装饰大楼内）
遵义虾子张六羊肉粉,0758-2229893,端州区端州三路23号星城广场4楼
广宁超群大拇指(总店),15992316103,广宁县中华中路时代购物城首层
满客贡茶(步行街店),18319397600,高要区南岸街道南亭路60号（步行街口）
发哥桂柳香螺蛳粉,13138506569,端州区端州四路19-23号第一卡商铺
万岁寿司(四会广场店),0758-3323277,四会市四会大道南四会广场一层
亮仔土鸡店(四会店),0758-3119605,四会市凤山路凤山市场旁
成都牛魔王面馆(端州六路店),0758-2555766,端州区端州六路14号（建设银行正对面）
华莱士(大沙广海店),0758-3660403,四会市大沙镇新圩广海西路118号
东海西饼,0758-2244399/13353050399,端州区建设二路城悦轩ABC座商住楼首层05商铺A，B卡
名典咖啡语茶(肇庆店),0758-2293399,端州区端州四路建安大厦中座12楼（近肇庆粤运汽车总站）
斯巴达比萨(肇庆凯德广场店),0758-2909515,端州区端州四路凯德广场1楼西门（2号门）
鹿儿岛啡言?包语(步行街店),0758-3119395,四会市金丽路H03号
心悦ENJOY(华英新城店),0758-2222149,端州区大花坛建设3路华英新城聚雅苑（华英市场北侧）
一品柠檬鱼(桂城店),0758-2669773/13660916880,鼎湖区桂城街道水坑大道桂豪花苑9号商铺（鼎一酒店隔壁）
芝士茶语(鼎湖店),13790023851/13929980780,鼎湖区鼎湖大道丽港新天地花园一期1区商业首层A02卡商铺
山水一方甜品(城东店),13413846761,端州区沙墩路二号第一幢首层第4卡商铺
仙庙烧鸡(颂德店),18818496057,端州区颂德路颂德中学斜对面
鼎记胡椒猪肚鸡美食,0758-2773600,端州区棠兴路1号圣地名轩坤和阁A1幢（交警支队斜对面）
嘉美乐(城东店),0758-2862880/2723880,端州区建设二路城东广场第2卡
满分MIX(星湖广场店),0758-2557808,端州区端州四路星湖国际广场一期一层T1-9（肯德基后面对面）
?前中式美食(芙蓉店),0758-2812122,端州区芙蓉路东街G栋13号第4卡（芙蓉轩对面）
子月花甲粉,18922649345,端州区天宁北路63号合百利广场四楼（原凯德广场一楼哈萨里）
茶知客(睦岗店),0758-2229126,端州区端州七路顺景市场对面
重庆老基地火锅,0758-2837001,端州区风华路23号思维酒店楼下（新力索酒吧旁）
淼福猪肚鸡(金利分店),0758-5969288,高要区金利新时代广场C1-3号铺
黑色经典长沙臭豆腐,13827573848,端州区端州四路星湖国际广场步行街北侧10卡
法兰度航空主题餐厅(端州店),0758-2528166,端州区信安五路益华国际广场21楼
鸡爪皇,17820204866,端州区端州六路海涛酒店旁
星湖美食白土烧鸡,0758-2231978,端州区岩前宝环大道22号
禧御贡茶,0758-2239838,端州区信安路益华国际广场一楼
华莱士炸鸡汉堡(朝阳东路店),0758-8633315,广宁县朝阳东路75号（近城东广场肯德基）
新海堂富兴饼店(乐添店),0758-8398301,高要区城区要南一路53号乐添大厦A幢首层商场（经营区A1卡铺位）
爱你每刻蛋糕,0758-2560826/18027835456,端州区信安六路湖荫街10号景逸苑首层商铺（近中鑫集团）
朝天门防空洞老火锅(宋城店),0758-2222123/13824633733,端州区宋城三路梅庵斜对面
喜芝麦浪(星湖国际店),0758-2235789,端州区端州四路10号星湖国际广场二期工程首层商店B1023号
匠心渔居酒屋(凯德店),0758-2226122,端州区凯德广场二楼超市入口旁
嘉美乐(时代店),0758-2862880,端州区端州五路时代广场1-C22卡
百基拉?烤鸡汉堡,0758-3226123,四会市商业大道30座（翡翠花园正对面）
趣维斯炸鸡汉堡(大旺店),0758-3134399,四会市景泰二路大旺广场对面
??冬阴功火锅,0758-2528309,端州区端州四路凯德广场三楼（沃尔玛出口）
蟹同鸡讲肉蟹煲,0758-2576810,端州区端州四路星湖广场4楼
同仁四季音乐主题餐厅(益华店),0758-2277177,端州区信安路益华国际广场内街一楼13--17号
心悦ENJOY(嘉湖店),0758-2216136,端州区棠岗路103号星湖尚景苑二期商业街商铺（淼鑫猪肚鸡左侧）
新海堂富兴饼店(翠星店),0758-2808220,端州区翠星路星荷豪苑B栋B1卡
嘉美乐(嘉湖店),0758-2862880,端州区叠翠南路盛泽天籁之星A幢（清韵轩）首层第七卡
佳兹堡(广宁店),0758-8661796,广宁县百盈大道好宜家购物广场首层
九月很美川小馆,0758-2272270,端州区端州五路2号广百时代广场4楼
德庆超群蛋糕店(总店),0758-7769222,德庆县德城镇解放北路114号
佐敦道(粤运车站直营店),0758-2568275,端州区端州四路17号院内客运大楼首层第17卡铺位
百宴自助餐厅(鼎湖店),0758-2696707/18922633679,鼎湖区水坑大道43号（向阳广场嘉美乐楼上）
圆润四季椰子鸡主题餐厅(恒裕海湾店),0758-2551111,端州区信安路恒裕海湾一层
佐敦道(大旺直营店),0758-3680837,四会市农场路13号金海岸商业城商场一楼西1004号商铺
淇淇雪糕批发,0758-7790702/13822667051,德庆县德城镇朝阳东路120号西起第3卡（原朝阳东名轩雪糕）
维纳斯海之韵西餐厅,0758-2521399,端州区西江北路1号维纳斯酒店2楼
黎氏皇鸡脚(南岸店),18938443775,高要区广新二路黎雄才艺术馆后首层8卡
nobletea尚品皇茶(四会店),13326988521,四会市清塘大道17座3号首2层
杨小贤甜品,0758-2229372/13822543499,端州区天宁北路蓝宫商城门口
嘉美乐(信安店),0758-2862880,端州区68区信安大道北侧圣地名轩泰龙15号商铺
鸡爪皇(怀集店),18318471262,怀集县工业大道一巷194号
汉釜宫自助烤肉海鲜火锅(益华广场店),13602970987,端州区信安大道益华国际广场7号楼3楼
石磨坊?亨记小食店,13660558310,端州区康乐北路康乐市场第三卡
裕兴碗仔翅甜品,13822604432,端州区康乐北路5号
华莱士(梁村店),0758-5333117,怀集县梁村镇中心大道百川超市斜对面
一面之交,0758-2228188,端州区端州三路41号（百家驿馆文化酒店楼下）
玛格利塔现烤比萨,0758-3636077/18675809363,四会市政德大街旺都花园首层益万家超市右侧三门面（中国银行）
幸福西饼生日蛋糕(高要店),0758-8520180,高要区金渡镇世纪大道鸿劲金属旁金渡区D2小区（黄国均宅首层）
巴蜀情,0758-6831096/13556582890,端州区工农北路16-17号
小桥世家,0758-6925116,端州区天宁北路58号西好世界2楼
大黎胜鸡脚(步行街店),13413880955,高要区广新二路步行街入口华艺幼儿园旁
康城饼家,0758-7762558,德庆县解放路与康城道交界十字路口红绿灯（农信右侧）
云端彝家人,0758-2232852/13556525298,端州区棠岗路77区荷苑6?1号（中影星尚影城正对面）
壹家自助餐厅,0758-2832117,端州区端州区宋城一路天宁北路63号合百利广场（好世界）四楼
老家土鸡店,0758-2774499/13527083790,端州区和平东路建平街1号商铺A19号-A23号
典雅西餐,0758-3363883,四会市龙凤路2-8号
开心花甲粉,13660917274/15992316311,四会市景泰一路大旺广场美食屋（屈臣氏对面，大旺广场正门）
铁人外带美式寿司,0758-2565377,端州区丽湖居6号，凯德广场东门，浦典发型正对面（顿顿湘木桶饭对面）
麦道(白土店),0758-8176108,高要区白土镇振兴路粮所大楼首层6-8卡
何记煲仔饭,13717236485,德庆县德城镇龙母大街清华花园三期入口左边
水玉 丸作,18666796565,端州区端州四路8号凯德广场西门（大家乐西侧）
鲜味卜卜贝,0758-2760866,端州区端州区黄岗街道建设一路81区和成豪庭一排商铺
奥柏斯西餐厅,0758-2798782,端州区古塔北路月圆花园十栋第8卡商铺
?鱼肴(大旺广场店),0758-8992033,四会市工业大街大旺国际广场三楼304室
一乐创意料理盖饭专门店,18811831330/14718367341,端州区棠岗路与颂德路交界直入50米（正一德庆竹篙粉旁）
德源惠小龙虾滋味馆,0758-2233389,端州区合百利商场4楼（原好世界商场-原小橙都冒菜）
开心花甲粉,13534970667,四会市北门直街11号
超群蛋糕(桂城店),13760054385,鼎湖区桂城水坑一综合楼A楼首层4号（南大街对面）
嘉美乐(黄塘店),0758-2862880,端州区44区黄塘路南侧下瑶村委会商业楼（蔚蓝嘉湖大酒店大堂西侧一楼商铺）
金凤凰国际酒店?菲尼克斯西餐厅,0758-6628888,四会市政德大街115号金凤凰国际酒店6楼
佐敦道(东城直营店),0758-3269654,四会市清塘大道八座7号首、二层东城商铺第7卡（富金来对面）
味霸盐?食品,0758-3381245/13360274001,四会市建设路27号之二铺（马田红绿灯健生堂隔壁）
嘉美乐(百花店),0758-2862880,端州区西江路百花园购物公园首层第16号商铺
趣维斯(南岸二店),0758-8208662,高要区南岸街道连江路（连江路与广新一路交汇处）
胡桃里音乐酒馆(益华广场店),0758-2103686,端州区端州益华国际广场
竹香园酒家,0758-2838362,端州区西江北路30号1-3卡体育中心西门斜对面
阿萨米披萨,0758-2720335,端州区星湖大道东湖广场东第28卡
海记潮汕特色牛肉火锅,0758-2560991,端州区凯德广场三楼
水车屋创作料理,0758-2239300/18026189300,端州区端州四路37号星湖大酒店一楼（近七星岩）
中恒华餐饮文化(尚景苑店),0758-2877899,端州区棠岗路星湖尚景苑二期东城汇二楼（星湖东门牌坊直行800米）
真功夫(康乐店),13900000001,端州区康乐北路9号国际新天地C区（瑶池海鲜市场对面）
椰园凤珍椰子鸡,0758-2233116,端州区广百时代广场一层中庭
御品轩石锅鱼(建设二路店),13822623002,端州区建设二路银河大酒店斜对面
吾饮良品Idrink,0758-2230187/13413877270,端州区建设三路46号市一中旁
佐敦道(印象汇直营店),0758-2278771,端州区端州四路8号印象汇（原凯德广场）首层
星大西饼(康乐店),0758-2828788,端州区康乐北路1-3号第1幢首层A、B卡商铺
牛立方,0758-2805888,端州区端州四路凯德广场三楼手扶梯左侧
芝士龙虾牛扒自助餐厅(国际店),0758-2836369,端州区康乐北路国际广场二楼
婆湾岛,0758-2828317/17707582727,端州区翠星路35号粤通楼首层104号商铺
阿尔戈斯香草西餐厅,0758-7779988,德庆县登云北路德庆大政府东侧阿尔戈斯度假酒店大堂
华莱士(新宁路店),0758-8622955,广宁县南街镇新宁路16-18号
煌记,0758-5533391,怀集县工业大道怀城镇第三小学隔壁
麦道(蓓蕾店),0758-2255686,端州区蓓蕾北路8号(邮政银行旁边)
华莱士(东湖三路店),0758-2856323,端州区东湖三路5号盛景华庭第一幢首层第3卡
东江蒸汽海鲜火锅,0758-2911138,端州区七星街翔宇大厦1楼
心悦Enjoy(人民南路店),0758-2216036,端州区人民南路41号首层十五小商铺10-11卡（十五小学转角红绿灯）
华莱士(泰源店),0758-5801432,怀集县冷坑镇新市场（八达门业旁）
丘德基(金利店),18607585660,高要区金利镇金贸东路综合市场A区001/001F铺位第一二层
柴火一品烧,13432409239,端州区宋城三路火车桥底红绿灯左转（林记车行背后）
大拇指蛋糕(总店),0758-5532039/15875843638,怀集县怀城镇国泰路步行街西出口A1铺
老渔夫酸菜鱼餐厅,0758-2258028,端州区合百利（原好世界）4楼中庭电梯左转
麻辣英雄重庆老火锅,0758-2231118,端州区信安路西侧敏捷城广场三期c段122商铺
嘉美乐(鼎湖店),0758-2699880,鼎湖区桂城水坑向阳广场一楼29卡商铺
淼福猪肚鸡西江路店,0758-2832158,端州区西江北路御景花园首层1-5卡（肇庆市教育局斜对面）
悠爱西餐厅(金利店),0758-8535466,高要区金龙大道润升百货内A25铺位
新语蛋糕店(康乐北路店),0758-6982898,端州区康乐北路13号首层F卡商铺
佳客来(大同路店),13318117778,四会市城中区大同路3号（近美特斯邦威）
蜀八婆香汁焖锅(大旺店),13827758229/13889948741,四会市高新区工业大街与景泰二路交汇处锦绣名庭2座商铺04铺
佳兹堡(封开二店),0758-6688468,封开县河堤路22-23号（原德州汉堡）
鱼你在一起(叠翠店),13922626816,端州区叠翠绿嘉湖新都市正门旁
一品柠檬鱼(大旺广场店),0758-8992079,四会市工业大街大旺广场3楼
肯德利(怀集店),0758-5531973,怀集县怀城镇商业步行街首层B2-B4，C2-C4号（新一代网吧楼下）
川蜀缘(柑园南店),15089682797,端州区柑园南路5号-113号
品原牛潮汕鲜牛肉火锅,0758-2733267/15907070138,端州区端州三路18号肇庆星城广场4层
云瑞京馔烘焙手工吐司(嘉湖店),18575800341,端州区叠翠南路安逸雅苑首层6卡（嘉湖新都市斜对面）
桂香苑(江口店),18026131779,封开县曙光路与解放路交叉口西北50米
广隆蛋挞王(康乐南路店),18807586676/13425373015,端州区康乐南路21号C幢1楼13号商铺（石咀街道办事处斜对面）
快活林食家,0758-2851332/2851333,端州区西江北路以西（即水果批发市场南侧）
大观园饭店(古塔店),0758-2228013,端州区城东街道端州三路41号古塔北路百家驿馆文化酒店首层（金钻大酒店斜对面）
御米坊紫砂美食店,13413853631,四会市城中街道汇源路五座1、2号首二层
?心??(城东店),13509988319,端州区蓓蕾北路城东公园南门邮政银行对面
蜀客川菜?小龙虾,0758-2850006/15361716469,端州区端州六路水立方侧（三禾加油站对面）
黔江烤鱼大排档,0758-2557709,端州区智慧路与太和北路交叉口东南角（华南智慧城对面）
榴莲晏(星湖国际店),13560933310,端州区端州三路大润发二期步行街第S-31卡商铺
鼎香瓦煲饭,18507585510/15820374260,四会市景泰一路大旺国际广场2期一层6栋F4
猪的故事韩国石板烤肉,18929877568,端州区康乐北路9号
超记胡椒猪肚鸡(四会店),15119827907,四会市沿江路美宜佳超市对面（即兰桂坊斜对面）
正新鸡排(如意路店),13763135342,四会市如意路朱伟民商住楼B1幢益万家对面
肯麦基(新德庆店),0758-7761777,德庆县德城镇朝阳中路5号（好邻居超级商场左侧一、二层）
红飞果汇(星荷店),0758-2262266,端州区翠星路星河豪苑H栋第8卡（国民大药房对面）
