状元烤场(大学路总店),0371-86062929/400-003-1321,二七区大学路与中原路交叉口向南100米路东永辉超市2楼
韩鲜坊韩式烧烤涮自助餐厅(农业路经三路店),0371-56008877/56009977,金水区农业路与经三路交叉口向西100米路北豪客来旁（金水区经三路60号配楼南三层）
和米堂(国贸360广场店),0371-87090933,金水区花园路39号国贸360广场B1层
俄士厨房(未来路店),0371-65688383,金水区纬五路未来路交叉口西北角（金陵海悦商务酒店南侧）
俄士厨房(二七万达店),0371-60302990,二七区大学南路与航海路交叉口万达广场三楼（万达影城楼下）
韩风源自助烤肉(建设路直营店),0371-65337777,中原区建设路与文化宫路交叉口向东100米路南
锅大侠火锅(大上海城店),0371-66209993/18837338213,管城回族区东太康路28号大上海城4层
佳客来牛排西餐厅(东风路店),0371-86092688/13837193466,金水区东风路与信息学院路交叉口向西100米路北（轻工业学院斜对面）
开饭啦(中原万达店),0371-55183278/15890132738,中原区中原路171号万达广场中原金街（郑州中原店）
汉轩宫海鲜火锅烤肉(大上海城店),0371-55338811,管城回族区东太康路28号大上海城3层
汉轩宫海鲜火锅烤肉(德化新街店),0371-55338822,管城回族区钱塘街与操场街交叉口（银基商贸城对面）
满芳庭羊肉汤(第三大街店),0371-58566516,管城回族区第三大街110号院1层11号（第三大街与经北一路交叉口向西10米路南）
胡闯渔粉(东明路店),13103829609/18137835886,金水区东明路与红专路路南30米（舒来喜火锅南边）
百年老妈火锅(玉凤路店),0371-67670888,金水区金水路玉凤路交叉口东南角名门城市广场3楼（东方金柜KTV楼下）
胡闯渔粉(国贸店),18839560014/15333801587,金水区花园路与丰产路交叉口向西100米关虎屯商业步行街
先生的秘制排骨,15638872838/15136496321,中原区桐柏路与棉纺路锦艺国际华都1期南门向西80米（商铺号6-02）
王婆大虾(中原路店),18538513796,二七区中原路与京广路交汇处向东30米路北（距郑州火车站约387米）
清真?香臣海捞无烟火锅,0371-86135222,管城回族区紫荆山路与商城路交叉口新世界百货4楼
韩风源烧烤涮自助餐厅(登封店),0371-62991188,登封市少林大道223号（新世纪大酒店东隔壁）
葛记焖饼(伏牛路店),0371-67869797,中原区建设路与伏牛路交叉口向南150米路东
清真?佰客基,0371-66209998,管城回族区紫荆山路与商城路交叉口卜蜂莲花一楼南门
韩风源自助烤肉(西大学城店),0371-55229555,高新区西四环与莲花街交叉口向东200米
同胜祥(4天地店),0371-56776161,金水区商务内环与商务西三街交叉口丹尼斯4天地3楼
松本楼,0371-55132558,二七区航海路二七万达广场3楼3025-3026商铺（大学路口）
格瑞欧海鲜自助烤肉火锅(光彩店),0371-56775858,管城回族区东太康路天达光彩美食汇2楼（大上海城南门屈臣氏正对面）
汉釜宫海鲜自助烧烤涮(万象城店),0371-55988388/18339208775,二七区铭功路与解放路交叉口向北100米路东汇港新城3楼（万象城西南门对面蒙娜丽莎3楼）
丁老头奶酪(郑大店),0371-53373518,高新区郑州大学新校区荷园二餐厅（中国电信西20米）
杨翔豆皮涮牛肚(二七万达店),0371-86559933,二七区航海中路与大学南路交叉口西南角万达广场室内步行街3楼中厅
韩风源自助烤肉(黄河路姚寨路店),0371-65335888,金水区黄河路与姚寨路交叉口（天一大厦2楼）
五谷渔粉,13937190129,管城回族区商城路紫荆山路交叉口新世界百货东面美食街裕鸿国际C座
俄士厨房(凯德广场店),0371-53392066/53392099,金水区中州大道1188号凯德广场2层
淡水士林(东风路店),0371-55059182,金水区东风路与园田路交叉口向东150米路北（轻工业学院对面）
唐古拉欢乐自助餐厅(洧水路店),0371-85909699,新郑市中华路与洧水路交叉口向西50米路南（老检察院对面）
百年老妈火锅(西元国际广场店),0371-67897666,中原区建设路与秦岭路交叉口西北角西元国际广场4楼（近华润万家）
和米堂(大卫城店),0371-55058155,金水区二七路与西太康路交叉口西北丹尼斯大卫城B1层
爱斯米牛排自助(大商新玛特店),0371-61175861,金水区花园路38号大商新玛特7层
N多寿司(二七万达店),13937120531,二七区二七万达金街3号门出口向北200米
五谷渔粉(西元国际店),13673385086,中原区建设西路与秦岭路交叉口向西100米路北（西园国际美食街西段）
轻语西饼(锦艺城店),0371-55622318/15138941103,中原区桐柏路棉纺路锦艺国际华都美域二期西门向北50米路东
汉丽轩烧烤涮自助餐厅(世纪城店),17737189267/13253357769,中牟县建设路与青年路交叉口向南200米路东世纪城4楼
豫味灌汤包,15938763413,中原区中原路与秦岭路交叉口向南50米路西（中原万达外街向西100米路北）
小南国小山城火锅(经三路店),0371-55822666/55822888,金水区经三路与北环路交叉口南200米路东（近北环路）
乡村大盘鸡(商城路总店),0371-88885615/55555615,管城回族区商城路与未来路交叉口向西200米路南（东明路口东）
韩风源烧烤涮自助餐厅(巩义店),0371-89991138,巩义市建设路德丰香榭里二楼华润万家东门
黄记玉米汁(国贸店),0371-87092567,金水区农业路花园路国贸负一层
裕达国贸酒店乐彼思特咖啡厅,0371-67438888,中原区中原中路220号裕达国贸酒店5楼（中原路嵩山路交叉口向西500米路南）
葛记焖饼(经一路店),0371-66305359,金水区农业路与经一路交叉口北行100米路东
本穆牛肉面(正光北街总店),18697201546,金水区农业南路与正光北街交叉口东五十米路北
高品会牛排自助(无限城店),0371-53366005,二七区德化街无限城四楼
润仟祥黄焖鸡大盘鸡(二七广场店),18503839283/15238380520,二七区西大街森马三楼尚潮汇主题餐厅内（二七纪念塔东100米，苏宁易购东侧老蔡记对面）
杨翔豆皮涮牛肚(中原万达店),0371-60998981,中原区中原路与秦岭路交叉口西南角，万达广场2号门3楼
巴西金牌烤场(祭城店),0371-88813068,金水区熊儿河路和畅和街交叉口向东100米路南（祭城乡政府对面）
赵记北京烤鸭店(大学路店),18300681368/13253646668,二七区大学路与淮河路交叉口西南角（王婆大虾楼下）
土大力拌饭名家(王府井店),0371-86560962/15649839737,中原区棉纺西路4号王府井百货负一楼
喜虾客(大商新玛特店),0371-55683400,金水区花园路38号大商新玛特7层
千家粗粮王(上悦城店),0371-55286668,金水区郑汴路与英协路交叉口西南角上悦城4楼
蜀江烤鱼(二七万达店),0371-55132528,二七区大学路与航海路二七万达百货三楼
巴萨奴纳牛排海鲜自助餐(锦艺城购物C区店),0371-67596666,中原区棉纺路与秦岭路交叉口东100米路北锦艺城购物中心C区4层
汉丽轩烤涮自助餐厅(龙湖店),0371-55220055,新郑市龙湖镇文昌路与泰山路向南200米龙湖商业广场3楼东北角
韩风源烧烤涮自助餐厅(上街店),0371-55898885,上街区济源路与金屏路交叉口东南角和昌都汇广场C区301（郑州银行三楼）
川遇鸡公虾婆(大上海店),0371-56778290,管城回族区人民路东太康路交叉口向西10米路北（半岛酒店右胡同里）
五谷渔粉,13403870022,金水区金水路与未来路交叉口曼哈顿广场奥斯卡影城向南30米汉釜宫正对面向里50米（戴菲美容院旁）
木槿花韩式自助烤肉(世纪公元店),0371-55887699,新郑市龙湖镇双湖世纪公元一层1057-1-2室
高记生炝烩面美食城(花园路店),0371-56266857,金水区花园路与三全路交叉口向北300米路东
永和铂爵国际酒店?威斯蒂娜西餐厅,0371-68663136,金水区金水东路21号（金水东路与黄河南路交叉口向东200米路南）
七德胜晋面传奇,0371-55916991,二七区中原路102号
土大力烤肉名家(太康路店),0371-55197399,管城回族区东太康路28号（大上海城2层）
香可利(正道易生活店),0371-63223893,高新区银屏路与银杏路交叉口东北角正道易生活一楼
帝王肉蟹煲(大上海城店),0371-66039099,管城回族区东太康路28号大上海城2层
孟.小成米线(中原万达店),15736797003,中原区万达金街3号门往南30米路东
董公馆海鲜烧烤涮自助餐厅,0371-61296333,金水区农业路与天明路交叉口南100米路西
土大力烤肉名家(曼哈顿店),0371-86030609,金水区金水路与未来路交叉口曼哈顿商业广场F区奥斯卡影院楼下1层
汉拿山(郑州二七万达店),0371-55156798,二七区大学路与航海路交叉口二七万达广场三楼
老狼大盘鸡(纬四路店),18703850672,金水区经一路与纬四路交叉口向东20米路南
韩风源自助烤肉(西元国际店),0371-86587892,中原区秦岭路与建设路交叉口西元国际广场4楼
滇城小镇过桥米线(二七万达总店),15290581340,二七区万达金街北段3号门北80米路西
王婆大虾(美景天城店),0371-55911982,管城回族区富田太阳城兴龙湾大酒店向北100米路西
舟友沸腾渔港(大商新玛特店),0371-67558166,金水区花园路38号大商新玛特7层
韩遇?幸福里(大上海城店),0371-56787732,管城回族区东太康路28号大上海城2楼步行街中段（黄记煌对面）
韩风源自助烤肉(电厂路店),0371-63687968,中原区电厂路华强城市广场建设银行二楼
麦茶德(二七万达店),18237142850,二七区二七万达金街3号门向北20米路西
铁板诱惑法式铁板烧(大卫城店),0371-55238859/55238869,金水区二七路150号大卫城12层
韩鲜坊烧烤涮自助餐厅(上街店),0371-68005688,上街区淮阳路与欢乐金街交叉口向西50米路北（欢乐金街售楼部3楼）
丽江龙继斑鱼庄(建设东路店),0371-55195789,二七区建设东路与大学北路交叉口向西300米路南
京馆涮(大卫城店),0371-56157198,金水区二七路与西太康路交叉口西北丹尼斯大卫城F11层
西贝三宝(农科路店),0371-55637966,金水区农科路与政七街交叉口西北角
摩码咖啡(二七万达店),17703852386/13323716521,二七区二七万达金街167号（1号入口处）
豪泰来中西餐厅(北环店),0371-56676766,"金水区北环路与丰庆路交叉口（沃美莱超市向东50米路北,名人顶级造型旁）"
黑牛时代(黄河路店),0371-55092369,金水区黄河路与经八路交叉口向东50米路北（近建文汇美尚城）
榕意16号,0371-56665559,金水区商务内环路与商务西一街交叉口奥园世贸大厦A座1楼（近丹尼斯七天地）
花甲大咖(曼哈顿店),17719801532,金水区金水路与未来路交叉口曼哈顿商业街西段（赛博数码广场北门斜对面）
韩风源烧烤涮自助餐厅(荥阳店),0371-55899998,荥阳市索河路塔山路交叉口西南角金都花苑2楼
咸肉菜饭骨头汤(兰德中心店),18903822139,金水区丰产路与花园路交叉口兰德慢生活美食广场三楼
老狼大盘鸡(文化路店),18703853693/18703850632,金水区文化路76号（文化路与北环路交叉口向南300米路东）
汉拿山(郑州中原万达店),0371-86671298/86671297,中原区中原路与秦岭路交叉口中原万达广场三楼
皇家烘焙坊,15890186974/13140117367,上街区济源路金华路交叉口北200米路东（欧凯龙西门口北侧2A030）
百年老妈火锅(中原万达店),0371-65926111,中原区中原路与秦岭路交汇处西南角万达金街
土房子鱼锅(商英街店),0371-55179060,管城回族区航海路与商英街交叉口向北300米路西（网球中心隔壁）
韩风源自助烤肉(国贸精品直营店),0371-87555777,金水区花园路与丰产路交叉口向西50米路南（新世纪大厦停车场、关虎屯丹尼斯生活停车场下车步行即到）
大塘港式茶餐厅(大上海城店),0371-66249199,管城回族区东太康路24号大上海城2楼美食街东区城市舞台东侧（近百货大楼）
速味居黄焖鸡米饭(新世界百货店),0371-53667338/13623806031,管城回族区商城路与紫荆山路交叉口裕鸿国际c座楼下（热风对面）
三帝瓦罐面(华润万象城店),17337774157,二七区民主路10号华润万象城6层
56°cake,400-991-5656,金水区建业路建业城市花园99号楼南1单元2层B五号
呷哺呷哺(郑州锦艺城店),0371-85966101,中原区棉纺西路36号锦艺城购物中心F4层
豫碗香老烩面(东方国际店),0371-65351973,新郑市永和街东方国际南门东50米
蜜丝雪酸奶&甜尚寿司,15638905772,金水区东风路与信息学院路交叉口向南10米路西(轻工业学院)
镇江鸭血粉丝汤,15179423866,巩义市新华路星月时代广场西门（苏宁电器旁）
土大力烤肉名家(CBD店),0371-86616318,金水区商务内环路丹尼斯二天地3楼
醉巴鲜烤鱼(惠济万达店),0371-66681939,惠济区文化路与开元路交口向西400米路北，惠济万达5楼
许三酱牛肉(交通路店),13598891435,二七区交通路40号（近永安街）
土大力烤肉名家(凯德广场店),0371-55689068,金水区中州大道1188号（凯德广场2层）
方燕烤猪蹄(曼哈顿店),15093301112,金水区金水路曼哈顿广场奥斯卡电影院南20米老狼大盘鸡隔壁
淘气??面,13383858968,二七区大学南路8号5号楼1-2层105号（近釜山第一烤场）
傣妹火锅(西大街店),0371-55988068,二七区二七广场西大街亚细亚旁森马4楼（近延陵路）
大卡司(西元店),0371-86520169,中原区建设路与华山路交叉口大摩西元广场B401-1号
炉小哥烤肉(熙地港店),0371-65932222,金水区农业东路与众意西路熙地港4层015A
大脸师傅鸡排(锦艺城店),0371-56773795,中原区桐柏路与棉纺路交叉口锦艺国际华都南门西商铺号6-02
同?祥(建设路店),0371-66225222,中原区建设路与文化宫路交叉口向东100米路南
稻香米线,15713661396,金水区商城路与英协路交叉口向北60米路东
胡闯渔粉(塔山路总店),13598419035,荥阳市大海寺路与塔山路交叉口北50米路西
北京大鸭梨烤鸭店(东风路店),0371-86186777/86185777/400-732-8080,金水区东风路与经三路交叉口向西150米路南（金城国际6号楼）
胖墩儿@炒酸奶(王府井店),15036175832/18638509119,中原区锦艺城一期商铺6-12（中国银行正对面）
盛合自助铁板烧(经三路店),0371-60992001,金水区经三路与纬二路交叉口向南50米路东（盛合三楼）
河南食府,0371-66222108,管城回族区人民路与东太康路交叉口（向北50米路西）
农夫大盘鸡(经八路总店),0371-55158966,金水区经八路与任寨北街交叉口南行10米路西（建设银行对面）
韩丽轩自助烤肉(巩义店),0371-64564999,巩义市新兴路与建设路交叉口往西100米路北（金信广场淘宝城4号楼3层）
土大力烤肉名家(花园路店),0371-55916670,金水区花园路与农业路交叉口丹尼斯13楼
金钱麻辣爆肚(福都店),15713889834,管城回族区航海东路芦邢庄花苑门面房14号（北门向西50米路南）
豪爽来中西餐厅(东区店),0371-68990008,金水区黄河南路与商鼎路交叉口向北100米
五谷渔粉,18037119052,中牟县雍州路沃金商业广场富鑫公寓4号楼（格林烤鱼西隔壁）
潮辣矿泉水火锅(嵩山南路店),0371-63465898/18683000304,二七区嵩山南路与淮河路交叉口向南200米
五谷渔粉(升龙又一城店),15517592080,高新区科学大道春藤路升龙又一城美食街东侧（春藤路与玉兰街交叉口西行100米路北，老鸭汤旁）
提拉米酥(大学路店),15824801753/15538059160,二七区大学路与航海路交叉口（二七万达金街5-108号）
新辣道鱼火锅(中原万达店),400-018-8917,中原区中原路与秦岭路交叉口中原路171号万达广场3层3029
韩鲜坊烧烤涮自助餐厅(荥阳店),0371-66128811,荥阳市万山路与索河路交叉口东北角建业百货商场4楼
川遇鸡公虾婆(京广路店),0371-56775038,二七区京广路与中原路交叉口向北50米路东
佰年王婆大虾(大学路店),0371-55026334,二七区大学路与淮河路交叉口西南角（古玩城斜对面）
户大姐土豆粉(大学路店),18703610557,二七区大学路与中原路交叉口东南角永辉超市一楼北门向里走15米
王婆大虾(国基路店),13838210506,金水区国基路与园田路交叉口向北300米路东
鼎鼎红火锅(英协路店),0371-86185888,金水区英协路华悦时间广场1层（近沈庄北路）
渔跃时尚烤鱼(德化街总店),0371-86522280,二七区二七广场德化美食街流行街A区3楼（奥斯卡影城西侧）
川遇鸡公虾婆总店,0371-53389566,二七区陇海路与庆丰街交叉口西南角鑫苑鑫都汇3楼星空影城旁
螺专甲正宗柳州螺蛳粉(曼哈顿总店),13073751726/15538058186,金水区金水路与未来路交叉口曼哈顿商业街G区109（奥斯卡影城向南50米路东）
大鸭梨烤鸭店(紫荆山店),0371-66263388/400-732-8080,管城回族区紫荆山路与商城路交叉口金城国贸一楼（商城路口）
喜虾客(公园茂店),0371-55007728,高新区雪松路与迎春街交叉口公园茂儿童茂（2号馆）四楼
百乐川烤鱼(农业路丰业广场店),0371-86568866,金水区农业路与南阳路交叉口东南角丰业生活广场二楼
烤尚宫韩式自助餐厅,0371-63316160,管城回族区经开区第五大街与经南三路交汇处乐尚天地生活广场3楼
韩风源自助烤肉(公园茂店),0371-55365589,高新区雪松路与迎春街交叉口朗悦公园茂中心广场二楼
上水?王婆大虾(大石桥总店),0371-61738260,金水区南阳路与金水路交叉口向北300米桥头路东（丹尼斯斜对面）
和米堂?章鱼烧(锦艺城店),0371-86237566,中原区棉纺路锦艺城4楼（耀莱成龙电影院斜对面）
云南蒙自过桥米线(丰庆路店),13523533630,金水区丰庆路与明达路交叉口向北10米路西（文化绿城小区西门）
炉小哥烤肉(大卫城店),0371-56558966,金水区二七路与西太康路交叉口西北丹尼斯大卫城F11层
无名缘米粉(德化店),13386859170,二七区德化街100号百年德化风情购物公园二层A区BQA226-2号商铺
胖墩儿@炒酸奶(曼哈顿店),18790263546,金水区金水路曼哈顿广场美食街阿利茄汁面店内
悦丽怡景西餐厅(大上海城店),0371-66216877,管城回族区东太康路24号大上海城2楼美食街(近百货大楼)
花千代秘制烤鱼(上街店),0371-85131199,上街区济源路与金屏路交叉口和昌都汇广场三楼A-301室
醉巴鲜烤鱼(龙子湖店),0371-60107025,金水区平安大道与明理路交叉口向西200米路南建业智慧港
肚兜兜饼(锦艺城店),0371-55652465,中原区棉纺路锦艺城后金街路口江北街重庆小面旁
天府捞火锅城(三全路店),0371-65789000,金水区三全路风雅颂美食街3号（花园路与三全路交叉口向西300米路南）
天天手擀面,13838086061,金水区南阳路与生产路交叉口向东50米路南
五谷渔粉(二七万达店),0371-86259298/18359121700,二七区大学南路万达金街，二七万达一号门入口向南50米路东（小面故事旁边）
五谷渔粉(万博商城店),13673698350,二七区德化街裕元里与兴盛路交叉口南（德化无限城西侧万博商城C口）
北京大鸭梨烤鸭店(南阳路店),0371-63573666/63573777/400-732-8080,金水区南阳路288号（孟砦南街与南阳路交叉口）
N多寿司(国贸360店),18538711312,金水区花园路与丰产路交叉口向西100米路南（国贸南门对面）
上水?王婆大虾(东风路店),13526629013,金水区东风路文化路向西40米路南（文化路东风路向西30米路南
潮掌门鸭爪爪特色Hi锅(百年德化店),0371-53399669,二七区百年德化风情购物公园A区2楼
韩风源自助烤肉(祭城店),0371-63223918,金水区心怡路畅和街交叉口向西100米大旺城4楼
芝士共和国(大上海城店),0371-55080908,管城回族区东太康路28号大上海城2层
六君子老洛阳牛肉汤标准牛肉汤,0371-66397999/18838028899,金水区红旗路与经三路向东100米路北
速味居黄焖鸡米饭,0371-65009911,荥阳市演武路与河阴路交叉口向西20米路南
阿德重庆印象火锅,0371-85760808,上街区金屏路与济源路交叉路口和昌都汇广场三楼
胖子烤鸭肠(永安街总店),18638038803/15738888488,二七区京广路永安街向西150m路南螺蛳粉正对面
诚记煲仔饭(丹尼斯CBD七天地店),0371-56639981,金水区商务外环路与众意路交叉口丹尼斯百货7天地2层
赛百味(国贸店),0371-87096168,金水区花园路39号国贸360广场B1楼
世家牛扒城,0371-86668881/86668885,金水区文化路与任寨北街交叉口向西50米路北
萧三??面,0371-66998080/15286833366,二七区人和路二七万达2号院底商
舒来喜鱼锅(伊河路店),0371-67439888,中原区桐柏路与伊河路交叉口东行50米路北
西贝三宝(英协路店),0371-55518989,金水区郑汴路英协路交叉口北150米路西
德克士(二七广场店),0371-88818188,二七区二七广场百年德化街新友谊大厦1楼
爵士牛排(广场店),0371-85955188,新郑市洧水路中段炎黄广场东南角100米路南3楼
川遇鸡公虾婆(无限城店),0371-60972993,二七区德化无限城4楼西南角
渔面传奇(丹尼斯4天地店),0371-55097668/13592137779/15538037568,金水区商务西三街中段丹尼斯百货4天地3层
皇宫大酒店,0371-68566666/68588888,金水区经三路与鑫苑路交叉口西北角
韩风源自助烤肉(商业中心店),0371-55655510,管城回族区永平路与康平路交叉口向西50米路北郑东商业中心3楼
秦云老太婆摊摊面(瀚海北金店),18737141699/15638501182,金水区文化路与北三环交叉口东南角瀚海北金一楼西南角（屈臣氏斜对面）
豫碗香老烩面(华信店),13526770456,新郑市和谐街新华信北门往东20米路口往北30米
顶牛拉面(农业南路店),0371-55127759,管城回族区农业南路与永平路交叉口向北100米路西
重庆朝天门火锅(东风路店),0371-56677333,金水区东风路与文博东路交叉口东南角
57度湘(国贸360广场店),0371-68615757,金水区花园路39号国贸360广场中心圆Ｄ301
桥家园正宗云南过桥米线(曼哈顿广场店),0371-86601860,金水区金水路与未来路交叉口曼哈顿广场A区1231号（海鲜夜市广场对面西北角）
德克士(万达广场店),0371-86665866/86665766,二七区大学南路8号万达广场金街1层
土大力烤肉名家(大卫城店),0371-56150208,金水区二七路与西太康路交叉口西北丹尼斯大卫城F10层
五谷渔粉,0371-60309839/13526634103,金水区商务内环丹尼斯三天地东侧（五行嘉园D座6号楼003）
田胖墩儿炒酸奶(大上海总店),15515755421,管城回族区大上海城东门口（鲜咖鲜客西边，华荣街向西上坡左拐即到）
方燕烤猪蹄(沃金店),13015512133,中牟县郑港四街与郑港七路交叉口沃金商业广场负一楼音乐喷泉北侧
蜀江烤鱼(中原万达店),0371-55638696,中原区中原中路与秦岭路交叉口中原万达广场3楼
和米堂?章鱼烧(大上海城店),0371-66218799,管城回族区东太康路28号大上海城负一楼c区
西树泡芙(锦艺城购物B区店),0371-86237566,中原区棉纺西路23号锦艺城购物中心B区4层4-07号
炉小哥烤肉(锦艺城购物C区店),0371-65931111,中原区棉纺路与秦岭路交叉口东100米路北锦艺城购物中心C区4层
麦多和馅饼(关虎屯店),18137115122,金水区丰产路19号丹尼斯丰产店关虎屯生活广场一楼（近经五路）
百度饮品(德化店),13600165498,二七区二七区百年德化风情购物公园德化街6道巷24号
杨国有麻辣烫,15776260678/18749437770,二七区二七万达金街北段113号（百度饮品对面）
佳客来牛排(洧水路店),0371-62687878,新郑市洧水路与中华路向西400米路北（恒丰快捷宾馆斜对面）
豪泰来中西餐厅(瑞达路店),0371-60395558,高新区瑞达路与科学大道交叉口向南100米路东
咖巴伊牛排,0371-68161888,巩义市新兴路淘宝城2楼
阿明煲仔饭(二七万达店),0371-86569297,二七区人和路二七万达金街3号门南50米路西（那加米皮对面）
久久一品大虾(高坡岩店),0371-62596359,新郑市双湖大道高坡岩村（西一街）第二人民医院东
上海生煎(龙湖店),15249680252,新郑市龙湖镇文昌路豪爽来中西餐厅向南10米路东
额尔敦传统涮(人和路店),0371-55005525,二七区淮河路人和路交叉口向南200米路西
小龙坎老火锅(国贸店),0371-55022866,金水区花园路与丰产路交叉口向西50米路南
许三酱牛肉(政通路店),13598891435,二七区政通路庆丰街交叉口向西100米路南（近政通路）
王婆大虾(龙湖旗舰店),0371-62613099,新郑市龙湖镇双湖大道第二人民医院东行220米路北
林记盆景鱼火锅(伊河路店),0371-67712277/67712288,中原区工人路与伊河路向东100米路北伊河大厦1楼
重庆九炉天下火锅总店,0371-66815559/66835559,管城回族区城东路与货站街交叉口向南200米路西
农夫大盘鸡(北大学城店),15938740652/18203639198,惠济区英才街与桂园南街交叉口西南角（好时光网络附近）
老五滋补羊肉汤烩面馆,0371-63969257/13603846616,金水区健康路与同乐路交叉口向北10米路西
红浪宇火锅(秦岭路旗舰店),0371-56677222,中原区建设西路与秦岭路交叉口北200米路东
醉巴鲜烤鱼(锦艺城购物C区店),0371-60202056,中原区棉纺路与秦岭路交叉口东100米路北锦艺城购物中心C区5层
豪佳香牛排?披萨(黄河路店),0371-63872333,金水区黄河路89号
豪派牛排自助餐厅,0371-55695167,金水区心怡路与畅和街交叉口西100米路南（大旺城对面）
小肥羊(百盛店),0371-65650111,管城回族区商城路与北顺城街交叉口东南角（百盛商场东门对面）
真知味快餐,15037122201,荥阳市广武路与康泰路交叉口向东五十米路北
华莱士(荥阳店),0371-60250028,荥阳市索河西路与工业南路交叉口向西100米路南建行隔壁（广武路东）
美哩很?方城炝锅烩面(蓝堡湾店),13676976298/18860386002,金水区东风路与文博东路交叉口向南50米路东（乐途宾馆隔壁）
食在美火锅,0371-62573111,新郑市升达大学门口向西100米路西天天假日酒店楼下（近升达大学）
可豫酒店(秦岭路店),0371-66310888,中原区秦岭路与航海路交叉口向北50米路西（航海路口北侧）
华莱士(河阴路店),15538355992,荥阳市河阴路与索河路交叉口北200米路东
呐喊的炒鸡(索凌路郑州总店),13526790535,金水区索凌路与信基路交叉口向北100米路西
上水?王婆大虾(新世界百货店),13323860859,管城回族区紫荆山路与硝滩街交叉口向北20米路东（华林广场对面）
醉巴鲜烤鱼(德化无限城店),0371-66856088,二七区二七广场步行街德化无限城5楼美食区
五谷渔粉(锦艺城店),13526692024,中原区棉纺西路桐柏路交叉口锦艺城二期中国银行北50米路西
好利家蛋糕(纬五路店),0371-56665629/17703866820,金水区纬五路与经一路向东20米路南（近东明路）
王婆大虾(西元国际店),0371-61955966,中原区西元国际广场4楼
桥家园正宗云南过桥米线,13938558212,中原区中原路与秦岭路中原万达广场金街2号门向南100米路西（巫山烤全鱼往西对面）
美盛喜来登大酒店?盛宴标帜餐厅,0371-56967786,金水区金水东路与农业南路交叉口西南角美盛喜来登大酒店内（地铁一号线C出口）
悦丽怡景西餐厅(嵩山路店),0371-68872888,二七区嵩山路淮河路向南200米路西（近淮河路）
清真?兰州五味壹品牛肉面,0371-67770533,二七区建设东路南大学路西2号楼1-2层101号
云鼎一品(丰业广场店),0371-86567357,金水区农业路与南阳路交叉口东南角丰业生活广场二楼（南阳路口）
凯蒂萨披萨(无限城店),0371-63385229/13253665512,二七区苑陵街德化无限城5楼东边北侧
食欲老院子(农业路店),0371-86086555,金水区农业路文博广场东临路北小巷内
优乐涮烤自助餐厅,18039502658,登封市少林大道与阳城路交叉口向南50米路西（阳城路1号转盘南50米路西未来宜居酒店二楼）
