店铺名称,联系电话,详细地址
丽莎蓓甜?提拉米?(维明大街店),0311-88866116/88866718,桥西区维明大街与裕华西路交叉口西南角（民心广场永辉城市生活广场负一楼）
艾品牛排(万达广场店),0311-67591155,裕华区建华南大街136号万达广场3层
一碗兰(海世界店),15931444339,裕华区天山大街与长江大道交叉口北100米路西（海世界东门北行30米路西）
达洛优(休门店),0311-66180318,桥西区中山东路158号滨江商务大厦外商E区门脸
呲咪呲咪欢乐火锅主题餐厅(西二环店),0311-83999997,桥西区西二环北路与中山西路交叉口北行100米路东（如家快捷酒店旁边，西二环北路1号）
德克士(正定盛华店),0311-89827778,正定县晨光路与车站东街交口东北角（盛华购物广场1层）
沧州成老灶火锅鸡(红旗大街店),0311-85853350,桥西区南二环与红旗大街交叉口西100米路南
一碗兰(空中花园店),18033769731,裕华区塔北路21号（空中花园对面）
河北云?世纪大饭店云海轩自助,0311-87036699,新华区中山西路145号，中华大街与中山路交口西北角（河北云?世纪大饭店一层）
那一客?2168香辣虾,0311-86072168,桥西区大经街五区一号路西
鱼铺烤鱼(西美花街店),0311-85011188,桥西区红旗大街与汇丰路交口西南角西美花街三楼阿上阿上对面
喜悦鱼粉(怀特店),15230105026/15512167531,裕华区槐安东路与富强大街交口怀特欧洲风情街B区26
全聚德(建设大街店),0311-86211266/86666588,长安区建设南大街9号（中山路与建设大街交叉口南行200米路东）
麦西尔手工烘焙坊(西美花街店),13373412535,桥西区红旗大街与汇丰路交口北行100米路东
过桥缘?鸡汤米线(勒泰店),0311-66189546,长安区中山东路39号勒泰中心庄里街2楼
鲜竹家板凳面(西美花街店),0311-68033686,桥西区汇丰路与红旗大街交口西美花街生活工厂3层西南角
喜识嘎嘣脆抹茶炒酸奶(西美花街店),15383118956,桥西区红旗大街与汇丰路交叉口西南角西美花街生活工场2号门（必胜客西邻）
自主城海鲜牛排烤肉餐厅,0311-88793555,正定县恒山东路71号（镇政府西侧）
米勒西餐自助,0311-85370976,裕华区长江大道与珠峰大街交叉口30米（近珠峰大街）
九宫格老灶火锅(北国商城店),0311-85853355,桥西区中山东路188号北国商城9层
汉维斯南美烤肉自助餐,0311-88998867,晋州市聚财街新世纪商城转盘北行100米路西（电脑一条街东头）
蜀江烤鱼(万达店),0311-67591863,裕华区建华南大街万达广场3楼
金春禧(万象天成店),0311-66600100/66600101,桥西区裕华西路15号万象天成5层
鱼货烤鱼(益友店),0311-88889806,桥西区裕华西路与友谊大街交口北国益友购物中心5楼
川人百味(万达店),0311-67796167,裕华区槐安路与建华大街交口万达广场3楼3031室
德克士(信誉楼店),0311-88162788,藁城区昌盛街信誉楼底商
富力洲际酒店夜市餐厅海鲜自助,0311-67796666,裕华区槐安东路119号富力洲际酒店1楼（近建华南大街）
汉拿山(石家庄裕华万达店),0311-67796226,裕华区建华大街槐安路交叉口万达广场3楼3015-3016室
鱼酷活力烤鱼(东胜广场店),0311-83075823,长安区中山东路508号东胜广场5层09室
喜悦鱼粉(裕彤店),15613157471,长安区体育大街与中山路交口裕彤体育场一楼餐饮区
千吉涮(东胜广场店),0311-83075561,长安区翟营大街与中山路交口东胜广场4楼
阿上阿上鲜汤麻辣烫(益友百货店),15373859771,桥西区裕华西路与友谊南大街交叉口西南角北国商城益友百货负一楼
鱼酷活力烤鱼(益友店),0311-89186601,桥西区裕华西路128号北国商城益友百货六楼东北角
好吖好鸭时尚干锅鸭头(怀特店),0311-66506858,裕华区槐安东路与育才街口三楼怀特商业广场三楼观光直梯西行50米
喜识嘎嘣脆抹茶炒酸奶(北国西兴店),13303115507,桥西区中山西路北国超市西兴店门口
喜识嘎嘣脆抹茶炒酸奶(万达二店),15383113571,裕华区万达步行街与槐岭路交口南行20米18号木屋
鱼货(北国益庄店),0311-88860686,长安区胜利北街289号北国益庄购物中心5层
江边渔火巫山烤全鱼(北国店),0311-67263278,桥西区休门街与北人字街交叉口东行100米路北
阿利茄汁面(信誉楼店),0311-86360662/15027700883,藁城区昌盛南街与工业东路交叉口西行
2098香辣虾(大经街总店),0311-86980777,桥西区大经街65号（中山路南三条口）
渝美乡鸡公煲,0311-83113585,裕华区槐安东路与建华大街交叉口地质大学北门西行20米路南
小时代铁板烧自助(勒泰店),0311-66686308,长安区中山西路与栗康街交叉口勒泰中心2楼（近勒泰中心呷哺呷哺、碧涛阁假日酒店、必胜客）
汉釜宫自助烤肉(北辰店),0311-68078991/18931993192,长安区石纺路与胜利大街交口北辰广场4楼
多芝多芝新西兰岩烧乳酪(万达广场店),400-112-6055,裕华区万达广场步行街小木屋6号
阿上阿上鲜汤麻辣烫(益庄店),17325362636,长安区胜利北街与北二环交叉口北行400米路西益庄购物中心5楼
喜识嘎嘣脆抹茶炒酸奶(图大店),15369187250,长安区中山东路与建设大街交口东北角图书大厦门口东侧
千吉涮(万达广场店),0311-83079363,裕华区建华南大街136号万达广场3层
江边渔火巫山烤全鱼(卓达店),0311-89839992,裕华区翟营大街与塔北路交叉口南行150米路东卓达商贸广场一楼4-8室（近停车场）
趣捞Qlao,17717787555,桥西区红旗大街与新石中路交口南行100米路西（米兰吃货街）
德克士(北国新石店),0311-89257118/15373968872,桥西区中华南大街与新石南路交口北国超市一层（新火车站附近）
茉莉花开创意川味餐厅(北国店),0311-89880334,桥西区中山东路188号北国商城西馆7楼
黄记百味自助骨头王(西三教店),13703292042,桥西区新石中路与维明大街交口东行20米路南
袁小甜,15831989690,裕华区南二环东路河北师范大学师生活动中心天客隆超市门口
德克士(凤中路店),0311-84033579,凤中路美源购物广场1层
大胖骨汤火锅(裕华店),0311-67667333/67667222,长安区裕华东路270号（裕华路与育才街交叉口向西50米路南）
KC炸鸡烤鸡(建设大街店),18633061068,裕华区建设大街与裕华路交叉口南行150米路西
一品渝香时尚干锅鸭头(北国益庄店),0311-66516688,长安区胜利北街289号北国益庄购物中心5层
嘿小面,17633233069/13931121602,裕华区槐岭路与万达步行街交口东行20米路北
那一客-2168香辣虾(西二环店),0311-83632168,桥西区中山路与西二环交叉口东行200米
德克士(无极店),0311-85781555,无极县中心城区光明街与无极路交叉口东南角（世纪城1楼）
林溪晚亭古法烤全鱼(正定店),0311-66185117,正定县成德南街北国商城五楼
诸葛烤鱼(东胜广场店),0311-83075856,长安区中山路与翟营大街交叉口东胜广场四楼
幸福鸟蛋糕店(正中店),0311-88025268,正定县府西街93号
马迭尔炒酸奶(东胜永辉店),15930888602,长安区谈固西街与中山路交口西南角东胜广场永辉超市内
一碗兰(嘉和广场店),19930608061,"长安区嘉和广场2号写字楼后（嘉和广场104,105号商铺）"
忠记肉夹馍(北国店),15128193105,桥西区北人字街休门街交口东行100米路南
林溪晚亭古法烤全鱼(育才街店),0311-66185111,裕华区育才街无水香酥蛋糕店对面往北行约50米处（靠近石家庄外国语小学，育才街43中东门北行50米路西）
阳光西点(红旗店),13383213101/15933019254,桥西区红旗大街与槐安路交口南100米路西（重庆老火锅）
一品渝香干锅鸭头(丰收店),0311-67507788,长安区建设北大街与丰收路交口东行200米路南
全聚德(怀特店),0311-85897199/85897299,裕华区富强大街与槐岭路交口东南角怀特文化广场1号馆
一碗兰(勒泰店),0311-66765095,长安区中山东路172号勒泰中心1层
林溪晚亭古法烤全鱼(广安大街店),0311-66185118,长安区广安大街美东国际c座2层
马迭尔.炒酸奶(新百广场店),15930888602/13931886698,新华区新百广场北国超市负一层
南美自助烤肉(藁城店),0311-88108111/13722880662,藁城区廉州镇昌盛南街13号（德克士旁）
汉拿山(石家庄东胜广场店),0311-83073833,长安区中山东路508号东胜广场4楼（谈固汽车站）
林溪晚亭古法烤全鱼(先天下广场店),0311-89918994,长安区中山东路326号先天下广场B1A层
喜识嘎嘣脆抹茶炒酸奶(中华北店),13331351660,新华区中华北大街与和平路交叉口北行200米路西（北国超市门口）
阿上阿上鲜汤麻辣烫(先天下广场店),0311-85128588,长安区中山东路326号先天下广场B1A层
喜识嘎嘣脆抹茶炒酸奶(怀特广场店),15373059507,裕华区怀特商业广场欧洲风情步行街A044
俏江南(先天下广场店),0311-85936626,长安区中山东路326号先天下广场6层
呲咪呲咪欢乐火锅主题餐厅(富强店),0311-85250077,裕华区富强大街21号（交通银行南面）
上海小南国(勒泰中心店),0311-66767611/400-820-9777,长安区中山东路172号勒泰中心4层
四海糕点,13131165261/13031445405,正定县近郊正定府西街正定中学北行66米路东
肯德基(中山店),0311-86076142,长安区中山东路189号
金春禧(先天下广场店),0311-85261768,长安区中山东路326号先天下广场6层
味动力麻辣香锅,0311-85919900,长安区中山东路301号国际大厦1楼超食汇美食广场内（博物馆对面）
李先生(怀特店),0311-67261624,裕华区育才街43中东门北邻
幸福鸟生日蛋糕(平山店),0311-82898008,平山县中心城区中山东路中山广场斜对面
苏顺成绿豆饼(中华北大街店),18932908493,新华区中华北大街与联盟路交口南行200米路东新华锦鲤商务中心底商
山城演义(怀特店),0311-86576788,裕华区育才街与槐安路交叉口怀特商城西南区
河北宾馆?香溢自助餐,0311-89668888,裕华区育才街与槐北路交口中茂海悦酒店一层（育才街168号）
全聚德(新华路店),0311-87880981/87880982,新华区新华西路539号（新华路与水产西街交叉口西行50米路北）
缘味先黄焖鸡米饭(金石店),15032693898,桥西区城角街175号（金石大厦B座底商外）
西北人家莜面村(体育南大街店),0311-85800666/85820566,裕华区体育南大街286号（怀特古文化茶城）
金汉斯烤肉自助,0311-82889009,平山县中心城区红旗大街与中山路交叉口永辉超市二楼
金汉斯(栾城店),0311-88663399,栾城区中心城区裕泰路福美金街A12-107号（北国超市东行100米路南）
一碗兰(汇华广场店),0311-68033017,桥西区红旗南大街与新石南路交口东南角汇华广场一楼
一麻一辣麻辣香锅(万达广场店),0311-83076166,裕华区建华南大街136号裕华万达广场三层万达影城正对面
德克士(市府路店),0311-86596777,藁城区市府东路与四明北街交叉口东南角
肯德基(飞云店),0311-85191168,新乐市中心城区新开路与鲜虞街交口爱尚购物广场一层
阿上阿上鲜汤麻辣烫(北国商城店),17633204124,桥西区中山东路188号北国商城西扩9楼（河北师大新闻学院金葵奖颁奖典礼奖品攻略）
德克士(元氏店),18132216176,近郊槐阳大街与常山路交叉口常山路56号（北国商城外一楼）
金山饺子(乐汇店),0311-66178081,桥西区中山东路13号乐汇城4楼（中山东路与大经街交叉口）
童年餐厅,0311-88899088,长安区中山东路与翟营大街交叉口东南角东胜商业广场五楼
韩悦烤肉(裕华万达店),0311-80681006,裕华区建华南大街136号万达广场3楼3012-3013号
花甲遇见粉,15081838083/15176988520,桥西区汇丰路西美花街三楼总店
速味居黄焖鸡米饭,15633015990/15633059518,长安区中山路与范光街交叉口南行300米路西（公安局正对面）
炉鱼(北国商城店),0311-85696969,桥西区中山东路188号北国商城8层
喜识嘎嘣脆抹茶炒酸奶(北国超市天河店),15303110010,长安区运河桥南胜利北街243号北国超市
御品德重庆鸡公煲(师大科技园店),13739729073,裕华区建设大街与南二环交口南行500米，师大园区内
豆蔻可可(名仕公馆店),0311-89283812,近郊人民东路县联社对面
捞天下大众火锅(捞天下水上公园店),0311-85272666/85272999,新华区联盟路502号(水上公园北门西)
喜识嘎嘣脆抹茶炒酸奶(益中店),18033706937,长安区中山东路东二环交口西北角益中百货（北国超市益中店）门口西侧
鱼酷活力烤鱼(乐汇城店),0311-66189262,长安区中山东路11号乐汇城四楼4FN04
和风清味日本料理,0311-83888818,长安区东大街9号裕华路与东大街交叉口北行200米路东
湘君府(体育大街店),0311-85884649/86579999,裕华区体育南大街326号
新辣道鱼火锅(乐汇城店),400-018-8917,桥西区中山东路11号乐汇城4楼（新中江文化城东面路对面）
德克士(栾城店),0311-88663600,栾城区中心城区大桥路广厦财富中心一楼西南角
千吉涮(怀特店),0311-66507899,裕华区怀特商业广场三层
水城黄焖鸡米饭(大石门店),15031712942,裕华区东岗路46号石门新天地A1F07号
阿三生煎(万达店),0311-83070376,裕华区步行街万达广场3号门对面南50米路西
金春禧(怀特店),0311-66600105/66600106,裕华区槐安东路105号怀特商业广场4F中厅电梯口
旗鼓村米线,0311-68033532,桥西区红旗大街与汇丰路交口西美花街3层西侧（3号门进入3楼扶梯处）
桃漫汀音乐主题餐厅,0311-88998566/88998599,长安区东大街9号凯旋金悦大酒店一楼南侧（省图书馆）
恩吉素食1413,18931996586,辛集市兴化路老江苏三楼（婚宴厅上三楼）
权金城(勒泰中心店),0311-66768806,长安区中山东路172号勒泰中心4层
鲍氏大盘鸡,13673166944,正定县恒山西路43号（正定镇中学东邻）
西美五洲冀粤香海鲜自助餐厅,0311-67308888,裕华区槐安东路与谈固南大街交口东行200米路北西美五洲酒店1楼
举个栗子(万达店),18633853578,裕华区槐安东路万达广场3号门出口处步行街上号（达洛优蛋糕店斜对面）
酷味之峰水饺涮自助,13730103256,裕华区槐安路育才街交口北国超市西门北侧多客记三楼
尼积小栈(勒泰店),15032102805/15032102705,长安区中山东路39号石家庄勒泰中心4层
满香园,18332023300,新乐市中心城区邮电街与新兴路交口东行50米路北（旧酱油厂东行）
杨翔豆皮涮牛肚(万达广场店),0311-86906776,裕华区建华南大街136号万达广场3层
斯米兰海鲜自助餐厅(华润万象城店),0311-66767778,桥西区中山西路华润万象城7楼L724
小龙坎老火锅(金源店),13315181250,裕华区槐安路与翟营大街交叉口东行100米金源商务广场一楼
派乐汉堡,15383398150,近郊向阳大街与潭沟街交叉口北30米
CoCo都可(勒泰中心店),15930105776,长安区中山东路39号勒泰中心F3-52B铺
侯氏火锅(西美花街店),13363823387,桥西区汇丰路58号西美花街生活工厂三楼（西美花街生活工场）
优优香米皮世家(新世隆店),15176161130,裕华区建设大街与槐中路交口东行100米路南（水利医院对面）
抹茶王子炒酸奶(新乐店),18731161815/17733899774,新乐市中心城区新开路实验小学东行二十米路南
侯氏火锅(裕华店),0311-83058150,桥西区裕华路与城角街交叉口东南角（益友百货西行300米路南）
盖冒儿川府冒菜馆,0311-68022249,桥西区北人字街西行100米路南（北国商城南侧）
釜洋斋(总店),0311-86071368/86087263,长安区和平路与胜利北大街交叉口西行30米西南角（自由港对面）
便利坊(北国商城店),0311-83666667,桥西区建设南大街10号与四中路交叉口
全聚德烤鸭店(和平路店),0311-87834014,新华区和平西路110号
阿上阿上鲜汤麻辣烫(西美花街店),13315965735,桥西区红旗南大街与汇丰路交汇处西南角（西美花街三层）
棒约翰比萨(新天地店),0311-86054635,长安区中山东路192号新天地商场1-008
神洲七星酒店?自助餐厅,0311-67793877/67793900/67793800,裕华区裕华路与青园街交叉口东南角一楼（青园街东侧）
真熙家韩式年糕火锅(石家庄万达广场店),0311-80689698,裕华区建华南大街136号万达广场3层
MaSoFe麦尚菲面包工坊,0311-86890969,近郊永通路与驿里街交叉口西行100米路北
沧州成老灶火锅鸡(谈固店),0311-88886018,裕华区谈固大街与槐北路交叉口东行100米路北
一碗兰(汽贸园店),0311-89643632,长安区丰收路与建华大街交口东行200米路南，奥北公元底商
大吉利潮汕牛肉火锅,0311-86250958,长安区广安大街与谈北路交口西行50米路南（距地铁博物馆站500米）
百汇自助餐厅,0311-82688893,近郊玉城大街万利福超市四楼
侯氏火锅(联盟店),0311-89831838,新华区中华大街与联盟路交口西行100米路北（万邦大厦2楼）
一品渝香干锅鸭头(新华店),0311-85290510/80716866,新华区新华路与友谊北大街交叉口北行50米路东（新华路口）
金拌客韩式餐厅(汇华广场店),0311-68109988,桥西区红旗大街469号汇华广场C座465四楼
赏时创意铁板烧餐厅(恒大城市广场店),0311-88999880/68002020,新华区中山西路77号恒大城市广场7楼扶梯旁
九月茉莉川菜馆(北国益庄店),0311-68093388,长安区胜利北街与北二环交叉口北行400米路西北国商城益庄购物中心5楼-05室
阿三生煎(西美花街店),0311-89920765,桥西区红旗大街与汇丰路交口西南角西美花街三楼
好吃婆重庆小面(西美花街店),13273188937,桥西区红旗南大街与汇丰路交汇处西南角西美花街二层（西美花街生活工场3号门北国超市西邻）
韩宫宴炭火烤肉(北国商城店),0311-89669978,桥西区中山东路188号北国商城8层-CY802室
漫8牛排(北国益庄店),0311-86813866,长安区胜利北街289号北国益庄购物中心5层
辣膳皇?重庆鸡公煲韩式烤肉(红旗大街店),15176109945,桥西区红旗大街398好米兰吃货街2楼
春园鲜烤食光烤肉?火锅自助餐厅,0311-82973658,开发区闽江道水榭花都北门
味小煲(东胜店),0311-83073838/18032685021,长安区中山东路与翟营南大街交口东南角东胜广场5F-08
尼积小栈(益友店),15032102705/15032102805,桥西区裕华西路128号北国商城益友购物中心F1（裕华路沿街商铺）
石库门酒店(中华店),0311-83868077,桥西区中华南大街与槐安路交叉口北行200米路东（家乐福保龙仓南邻）
一碗兰(怀特店),15633812979,裕华区怀特商城南门东侧（国美电器南门东侧）
伊秀手握寿司(勒泰店),0311-66768088,长安区中山东路172号勒泰中心4层
举个栗子(广安店),13832108585,长安区广安大街棉四宿舍49号楼底
??火锅?茶憩(石家庄万象城店),0311-89891800,桥西区中山西路与中华南大街交口东南角华润万象城六楼
可可西点(平安店),0311-87367567,桥西区裕华东路96号平安大街口东行50米（二十中西侧）
香菲蛋糕世界(四明街二店),15333219266,藁城区四明街北段65号路西海马酒店北行20米路西
一品渝香干锅鸭头(谈固店),0311-68035858,长安区中山路与谈固北大街交口北行200米路西
玉林串串香(万达店),0311-67596787/15532101018,裕华区槐岭路31-32号（万达3号门向北路西）
湘君府(燕春店),0311-89266888/86030888,长安区中山东路189号与建设大街交叉口路北国商城对面
刁四藤椒麻辣烫(蓝山店),0311-68036989,裕华区建华南大街212号负一层
湘君府(中华大街店),0311-87081999/87062999,新华区中华北大街189号（中华大街与市庄路交叉口东北角）
旗鼓村米线,13931196625,长安区中山东路永辉超市负一层
遛鱼巫山烤全鱼(益新购物中心店),0311-85267957,开发区学苑路53号益新购物中心5层
京州国际酒店蓉华食府特色火锅餐厅,0311-80777777,长安区裕华东路与谈固南大街交叉口西北角京州国际酒店六楼蓉华食府餐厅
张记果木炭烤鸭(梅山路店),13363897151,正定县正定镇梅山路工商局东行100米路北13号（梅山浴池斜对面）
沧州成老灶火锅鸡(东岗路店),0311-88886022,裕华区东岗路与翟营大街交口西南角春天广场3楼
蜜雪冰城,13315145184,晋州市中兴路新世纪商城游乐场路西
良子重庆鸡公煲(世纪商城店),13833193378,辛集市兴华路世纪商城南街9号（玉峰数码东侧隔壁，原路北老店）
湘君府(建华大街店),0311-85081000/85082000,长安区建华北大街19号(建华北大街与跃进路交叉口东北角)
鑫爱蛋糕店,15130053358,辛集市束鹿大街与东华路交叉口北行388米路西
炉鱼(先天下广场店),0311-89696969,长安区中山东路326号先天下广场6层
第一佳大鸡排(万达旗舰店),13230189128,裕华区万达步行街与槐岭路交口西南角（锦江都城酒店对面）
金汉斯(晋州店),0311-84358889,晋州市世纪大道信誉楼南行300米（巴厘岛北邻）
CoCo都可(乐汇城店),15031126442,桥西区中山东路11号石家庄乐汇城四层商铺
果丽康鲜榨果汁(勒泰店),15354210891,长安区中山东路勒泰中心4楼中部
新天地蛋糕房,0311-88169618,藁城区通明巷与通胜巷交叉口东50米
德克士(赵县店),0311-84940866,信誉楼商圈信誉楼一层东侧
川人百味(海悦天地店),0311-66855689,桥西区裕华西路66号海悦天地购物广场4层
万达广场(裕华店),0311-67596555,裕华区建华南大街136号
皇家精点坊(通安街店),0311-88111555,藁城区通安街通安西区南行30米路西
步步高&朗祺蛋糕(联盟路店),0311-87764478/13303238630,新华区友谊北大街西雅园3号水上公园西门对面
金山饺子(怀特店),0311-66506678,裕华区槐安路与育才街交口怀特商业广场三楼
岚山咖啡,0311-87028880,桥西区裕华西路40号（艺术中心对面，燕山大酒店西侧）
孔老二铁锅烀羊(友谊店),0311-66037555,桥西区友谊南大街338号（友谊南大街与新石北路交叉口北80米路东）
黄记煌三汁焖锅(西美花街店),0311-85511226,桥西区红旗大街与汇丰路口西美花街生活广场3楼
幸福鸟蛋糕店(现代城店),0311-88016556,正定县恒州北街与华安西路交口北行20米路东（万佳丽都）
老酒川菜坊宽院子店(原体南店),0311-86829911/86829922,裕华区体育南大街270号（省工商局招待所院内）
沧州成老灶火锅鸡(联盟路店),0311-85042058,新华区联盟路与红星街交口东行500米路北（招商银行二楼）
步步高蛋糕(合作路店),15631139673,新华区合作路与泰华街交叉口西行100米路南（近新华区政府）
CoCo都可(东胜广场店),17743889819,长安区中山东路508号中山东胜广场4F-13商铺
好旺角蛋糕(金座广场店),15030125566,新乐市中心城区金座广场（电影院）新开路与鲜虞街交口
刁四藤椒麻辣烫(万达店),18733188592,裕华区建华大街与槐岭路交叉口西行100米路北（万达2号门西行10米路北）
咖啡之翼(北国商城店),0311-89669468,桥西区中山东路188号北国商城4层
天霸,15230151776,新乐市中心城区鲜虞街57号（肯德基斜对面）
渝协老灶火锅,0311-88987333,裕华区建设南大街与东岗路交叉口南行800米西行100米路北新红楼饭店对面
峨嵋小镇大食堂(新天地店),0311-86066699,长安区中山东路188号新天地5楼（北国商城对面）
CoCo都可(益友店),15930108047,桥西区裕华西路128号益友百货
重庆老码头火锅,0311-88881188,裕华区建设大街与东风路交叉口西南角
咀香园蛋糕(燕都金地店),15230169788,新华区燕都金地城B区7号（燕都金地城小区入口北侧）
林溪晚亭古法烤全鱼(蓝山国际店),0311-66185801,裕华区建华南大街蓝山国际1楼，北国超市内
爱辣啵啵鱼(国贸店),18133804569/18731108810/15032732580,新华区黎明街国贸院儿里美食街内（新百广场后）
拿渡麻辣香锅(天山海世界店),0311-80755758,裕华区长江大道与天山南大街交口天山海世界1层
一品渝香?好吖好鸭时尚干锅鸭头(北国店),0311-89669992,桥西区中山东路街道中山东路188号（北国8楼）
重庆小板凳吧式火锅(珠峰大街店),0311-66571530/18032111515,开发区珠峰大街闽江道想象国际底商
姐弟俩土豆粉(万达店),0311-66111298/18632129866,裕华区万达步行街与槐岭路交叉口北行50米路东
艾品牛排(海悦天地店),0311-66855708,桥西区裕华西路与中华大街交叉口西南角金正海悦天地4楼
川盛居火锅,0311-80933888/80933999,桥西区平安南大街与东马路交叉口西行120米路北，大连烧烤美食城东临即是（平安路口）
阿上阿上鲜汤麻辣烫(谈东店),0311-89259781,裕华区谈固东街北国超市谈东店入口（大马庄园附近）
品冠精肉夹馍(大丰源购物广场店),15831167926,辛集市建设大街中段大丰源购物广场西邻
鱼酷活力烤鱼(卓达店),0311-85802001,裕华区翟营大街商贸广场底商
伊秀手握寿司(万达广场店),0311-67796200,裕华区建华南大街136号万达广场3层
华捞汇涮园(西三庄店),0311-66632777/66633659,新华区和平西路与西三庄街交叉口北行50米路东
黄记煌三汁焖锅(怀特广场店),0311-66508182,裕华区槐安东路105号怀特商业广场4F-02-04号
容而煎饼道(万达步行街店),13582129835,裕华区槐岭路与万达步行街交口西南角
侯氏火锅(西王店),0311-83638883,桥西区石获南路189号（西王客运站对面）
锅品面吧?饭,0311-86061286,长安区建设南大街1号（新天地商城1楼东北角1-002店铺）
皮都国际酒店佰客西餐厅,0311-83218888,辛集市教育路北段皮都国际酒店二楼
竹鱼村烤全鱼(华强店),0311-89849813,新华区民族路华强广场5楼（新百广场北侧）
肯德基(平安店),0311-86071944,长安区中山东路97号铁道大厦一层
蜀九香火锅酒楼(旺角国际店),0311-86780333/86780222,桥西区新石北路与红旗大街交口西行50米路南（旺角国际2楼）
河北人家(水上公园店),0311-87590333/87591333,新华区联盟西路707号(联盟西路与友谊北大街交叉口东行50米路北)
燕风楼烤鸭店(建设总店),0311-86044833/86041478,长安区建设大街19号（建设大街与健康路交口东北角）
