企业名称,法定代表人,联系电话,企业地址
郑州留君网络科技有限公司,郭潇君,0371-56782317,郑州市郑东新区博学路湖心一路北1号楼19层1903号
郑州研腾商贸有限公司,李红涛,18538560395,郑州市金水区国基路56号7号楼1单元5层0502号
郑州医之赛商贸有限公司,朱东远,15838166476,郑州市二七区京广南路8号京莎广场1单元13层1308号
郑州鑫德货物运输有限公司,杨同义,13007511069,郑州市中原区秦岭路11号院5号楼24层2408号
河南火小亨食品有限公司,火瑞平,13723271367,河南省郑州市二七区建新东街1号楼5单元4层71号
郑州茗仕梵网络科技有限公司,张明帅,13030399299,郑州高新技术产业开发区长椿路16号双糖公寓2号楼1816号
河南增泰企业营销策划有限公司,韩平,0371-63582358,郑州市金水区北三环路南、文化路东、瀚海北金商业中心B座10层10021
鸿海郑州,尚海涛,18603861366,郑州市金水区天伦路11号院5号房
郑州民豪机电设备有限公司,刘俊民,13938701707,荥阳市中原西路五洲城A8区1098号
郑州小张汽车服务有限公司,张辉,18338444356,河南自贸试验区郑州片区(经开)十三大街南三环瑞锦小区梅花园1号楼1单元21楼2102室
荥阳市建赢装饰工程有限公司,汪凯,15517565558,荥阳市中原西路与飞龙路交叉口创新创业综合体研发中心1602室
郑州玫之影商贸有限公司,曹长勇,15333806559,郑州市管城区东豆腐砦海棠湾2号楼2单元21层122号
郑州市鑫栋机械设备有限公司,岳爱卿,15617419663,郑州市中原区西湖花园三号楼西单元三楼东户
郑州乔特健康管理有限公司,陈宽明,13783719829,郑州市金水区翠花路7号39号楼1层2号
郑州伽姆博作物营养有限公司,郭齐,18637119968,郑州市惠济区河南农资大世界4区12号
河南磐冠建筑设计有限公司,韩介芝,13783521518,郑州市中原区冉屯路2号13号楼1单元4层东户
河南好易特生物科技有限公司,都业明,15776238139,郑州市金水区花园北路59号居易国际4号楼1506号
郑州拜尔网络科技有限公司,张阳光,13526557551,河南省郑州市中原区颖河路54号1号楼2单元附18号
郑州市宏之运建材有限公司,阴宏亮,18697328768,郑州市郑东新区龙湖外环东路与龙翼六街龙翔嘉苑3号院26号楼1单元603房
河南民旺农业技术开发有限公司,魏秀菊,18937129750,郑州市金水区柳林镇刘庄村魏河北路59号
郑州睿驰网络科技有限公司,樊文涛,18503817221,郑州高新技术产业开发区电厂路70号华强城市广场1号楼2单元16号楼220号
郑州文达工程机械设备租赁有限公司,文红勇,17739771171,郑州高新技术产业开发区莲花街11号1幢5层B座号三层306号
河南稻米科技有限公司,邬涛,15890168717,河南自贸试验区郑州片区(郑东)商务内环路14号1单元9层0902号
河南天蓝水清机电设备有限公司,尹志田,15838053731,郑州市金水区同乐路10号院4号楼附6号
河南全家商业管理有限公司,张文燕,19903853032,郑州高新技术产业开发区河南省国家大学科技园(东区)15E号楼一层水晶宫064号
河南星苹果文化传播有限公司,韩振辉,15515907107,郑州市金水区三全路9号一米阳光国际公寓2127室
郑州动动鱼图文设计有限公司,王收,13213062792,郑州市郑东新区正光路与心怡路交叉口向北500米路西祭城社区6号院16号楼5单元1楼西户
河南广世安电气设备有限公司,陈萍,15617419665,郑州市中原区华山路80号9号楼14层55号
郑州晟鑫新能源科技有限公司,张新建,15838111315,新密市袁庄乡开阳路与富民路路口东500米
河南苏鸿兴建材有限公司,孙万斌,15803821349,郑州市郑东新区商都路与农业南路交叉口郑东建材家居城D区一栋59号
河南省炼金网络科技有限公司,范明岩,18937114507,郑州市金水区东风路28号院30号楼23层2301号
河南明物志商贸有限公司,王颜辉,13838099691,郑州市金水区花园路162号科技中专家属院1号楼3单元4层35号
巩义市富强净水材料贸易有限公司,范瑞丽,13938502215,巩义市永安路与310国道交叉口北50米路西21号
河南田赐宝农业科技有限公司,冯浩伟,13676935780,郑州市金水区花园路39号1号楼2单元30层3001号
河南博之川商贸有限公司,李金磊,13333956823,郑州市二七区碧云路99号5号楼3单元2层东户
河南慧光印务有限公司,郭庆勤,13838613992,郑州市中原区桐柏南路238号3号楼22层2201号
河南居辰机械设备有限公司,薄鹏涛,13592232323,郑州市中原区郑上路11号院1号楼6层0636号
郑州俊伟铝业有限公司,蔡玮俊,18768899995,郑州市上街区淮阳路欢乐金街54号
河南凤溪阁足浴服务有限公司,张祖芬,0371-86552686,郑州市惠济区长兴路办事处长兴路32号院2号楼2楼
河南雅楠商贸有限公司,冯汉超,15237100903,郑州市郑东新区农业东路112号16号楼1-2层附9号
河南麦道物业服务有限公司,黄永杰,13949119118,郑州市金水区南阳路46号2号楼7层67号
河南德恒装饰材料有限公司,贾建伟,13503845557,郑州市二七区大学路66号富华花苑15号楼12层071号西北户
河南留收建材有限公司,王留收,13623837575,郑州高新技术产业开发区莲花街红楠路龙鼎创富中心3号楼16层
郑州卓畅建筑劳务分包有限公司,刘功,18838018103,郑州市中原区冉屯北路南、化肥东路东7座2单元32层3202号
郑州崔氏果品有限公司,崔国仁,18837170267,郑州市中牟县郑庵镇万邦物流园果品区B22区8号
河南御堂医坊科技有限公司,袁爱萍,13140127228,郑州市金水区玉凤路361号沈庄北院2号楼1单元3103号
河南省金品生物科技有限公司,李彦斌,13219835888,郑州市中牟县青年路中段南侧
河南桦隆家具有限公司,张涛,13673601148,郑州市二七区一马路1号9号楼22层2201号
河南优优公寓管理有限公司,连超许,18910275082,河南自贸试验区郑州片区(郑东)商都路中兴南路交汇处西北角凯利国际中心A座720号
河南森邦物业服务有限公司,尹彦彦,13653860235,郑州市二七区嵩山南路西、长江路南1幢26层2603号
郑州佳盈化妆品有限公司,齐莉莉,15638277855,郑州经济技术开发区航海东路1309号6号楼8单元3号
河南吉瑞众通汽车服务有限公司,吕兴良,0371-60251538,荥阳市中原西路与绕城高速交叉口瓦屋孙村西1组
河南省广淘文化传播有限公司,李帅鹏,13812691531,郑州市金水区三全路9号一米阳光公寓16楼1629室
河南万纳生物科技有限公司,赵路路,13803823400,郑州市惠济区天河路669号院40号楼1单元1层1号
河南鼎大广告文化传播有限公司,罗阳,0371-63380181,郑州市金水区国泰路罗马假日小区2幢104号
河南堂前燕商贸有限公司,李馨昊,18538753839,郑州市金水区红专路103号宏远小区3号楼1单元1楼东户
河南极境文化传播有限公司,王东明,0371-60900802,郑州市金水区经三路北段93号院18号楼2单元2层98号
河南鼎家物业服务有限公司,罗荣,0371-57095802,郑州经济技术开发区第五大街89号鹤立幼儿园家属院北楼501室
河南泰,王启航,13525566488,郑州市金水区农业路东45号2号楼18层1806号
郑州特勤商贸有限公司,杜江,18539909020,"郑州市金水区农业路东68号,苏荷中心568房间"
河南中安警用设备有限公司,张子阳,13592600079,郑州市郑东新区正光路111号11号楼4单元18层207号
郑州溢航净水材料有限公司,李蕊,15515678267,郑州市二七区京广南路华中路京莎广场C座16层1608室
河南鹏欣商业企业管理有限公司,田炯齐,15503715918,郑州市二七区兴华南街103号3号楼103附70号
郑州凯达皮业有限公司,马冬梅,15838157797,郑州市上街区许昌路35号院一幢一单元19楼
河南豪诺电子商务有限公司,丁豪,13526759819,郑州市郑东新区金水东路10号院25号楼2单元4层26号
河南彭勃进出口贸易有限公司,李梓瑞,15637488888,郑州高新区科学大道57号4幢12层169号
河南昂宇商贸有限公司,解西,13700839922,郑州市中原区桐柏北路113号院5号楼1单元3层4号
河南方圆健康产业有限公司,张胜男,15713883018,郑州高新技术产业开发区新数码港1号楼3单元11楼211号
河南博耀商贸有限公司,曹雪飞,13073728128,郑州市金水区北三环52号1号楼16层1601号
河南省智联通信技术有限公司,田丽,13598009986,郑州市金水区经三路56号1号楼2单元1层102
郑州千页图文设计有限公司,李源乐,15617619181,河南省郑州市中原区中原中路171号5号楼1-2层113号
河南新界机电设备有限公司,杨世华,13027773651,郑州市二七区京广南路开元丽城5号楼3单元34号
巩义市风尚餐饮服务有限公司,杨延峰,15981955123,河南省郑州市巩义市大峪沟镇海上桥村十组
郑州禄昌商贸有限公司,赵冬菊,13838998655,郑州市中原区郑上路11号院1号楼2层0233号
郑州畅元泽建材有限公司,李敏,18336396278,新郑市孟庄镇河南六盛钢材交易中心附属货场二期D区独立楼第5幢A单元
郑州锗石文化传播有限公司,郭月秀,0371-63962185,郑州市金水区经五路20号附6号14号楼2单元3楼10号
郑州鼎业商贸有限公司,侯振宗,13803816096,郑州市郑东新区商都路22号C1号楼1-2层40号
郑州市华鑫教育信息咨询有限责任公司,赵跃辉,18135782123,河南省郑州市登封市少室路西关街2号
郑州市域上和美商贸有限公司,赵绪静,13526531204,郑州市金水区沈庄后街18号院1号楼2单元7层11号
郑州市尚美洁卫浴有限公司,杨莉,15737176565,郑州市金水区郑汴路凤凰城南城二楼东区南92号
郑州海必发钢材有限公司,吴长宪,15639927856,郑州市中原区五厂四街37号楼付3号
郑州红焱仪器设备有限公司,刘素萍,18937633276,郑州市二七区航海北街18号2号楼10号
郑州勇强双喜建材销售有限公司,李富学,13017675238,郑州经济技术开发区前程办事处华丰建材交易中心C厅4排1号
郑州诺迈贸易有限公司,黄建坡,13838522958,郑州市金水区北环路南、中州大道西2幢1单元26层144号
郑州光顺贸易有限公司,张宗宇,13623816834,郑州市管城区陇海路南、未来路西1号楼21层2107
郑州云泽水产品有限公司,马彦峰,18695825153,河南省郑州市郑东新区金水东路与东四环交叉口向南300米路东郑东花卉市场B馆10排20号
郑州润嘉鑫电子商务有限公司,苏广涛,17719993220,郑州市二七区政通路50号院3号楼1单元3101室
郑州方圆铝镁有限公司,巴联锋,0371-68118804,郑州市上街区登封南路8号院16幢1号
郑州凌轩机电设备有限公司,朱己静,13783679672,郑州市惠济区长兴路5号长兴大厦7楼714
郑州悦来农庄有限公司,王根保,15378779595,郑州市惠济区老鸦陈办事处薛岗村
郑州市行肆商贸有限公司,王吉祥,13343813865,河南自贸试验区郑州片区(郑东)七里河南路意中大厦2楼203
郑州泊酒酒业有限公司,段蕾,15890545965,河南自贸试验区郑州片区(郑东)第八大街经北六路文博西城西3楼1层2号
郑州慧科化工产品有限公司,时春磊,18530928369,郑州市郑东新区商都路5号建业五栋大楼D座602号
郑州晶钻进出口贸易有限公司,王俊平,15093519109,郑州市郑东新区十里铺小区5号楼2304室
郑州驰麒商贸有限公司,王吉铭,17319735068,郑州市中原区西四环路西、金田路北2号楼1单元19层1905号
郑州桐之正商贸有限公司,刘兵,18538700275,河南自贸试验区郑州片区(郑东)商都路与心怡路交叉口319号易元国际B座16层1635号
郑州润一网络科技有限公司,汪风霞,13273813300,郑州高新技术产业开发区电厂路80号162号楼13层41号
郑州巨德商贸有限公司,邢雪平,18623712676,郑州市中原区西流湖街道铁炉村谷庄10号
郑州领泓贸易有限公司,何鹏,15238864606,郑州市二七区连云路123号黄河科技学院(南区)大学生创业孵化园
恩宏郑州市,陈泽宇,13592666333,郑州市中原区郑州市创业孵化园3304号
郑州东旗电子科技有限公司,王福胜,13503864386,郑州市金水区文化路68号科技市场E楼209号
郑州甄世爽商贸有限公司,马新玲,13213160796,新郑市孟庄镇洪府村514号
郑州嘉润仓储服务有限公司,时景明,13683807272,郑州经济技术开发区龙腾街与兰心路交叉口(郑州国际物流园区)3号楼1单元102号
郑州旌辰贸易有限公司,刘士杰,13298121762,郑州市郑东新区农业东路33号3号楼南1单元2层208号
郑州皇壹企业管理咨询有限公司,文治朵,0371-86589596,河南自贸试验区郑州片区(郑东)德厚街6号河南煤建大厦B座2单元5层5号
郑州瑞驰耐材有限公司,刘芝荣,13526512595,郑州市上街区丹江路39号院
郑州唛噻家具有限公司,罗旋,13298332207,河南省郑州市市辖区郑东新区红星美凯龙一期一楼B8050-2、51、52、53-1号
郑州茂升停车服务有限公司,李菊花,13608671996,郑州市郑东新区商都路8号东2单元6层612号
郑州迪富机电设备有限公司,李晓伦,13007536740,郑州市中原区须水街道须水村郑上公路张家台(西服总厂东100米路南)
郑州市百城通运输有限公司,李秀江,15138451192,郑州市上街区淮阳路与工业路交叉口东100米
郑州松之源汽车服务有限公司,陈远鸿,18937140457,郑州市郑东新区商都路33号五洲精品陶瓷城M区6号
郑州万之多贸易有限公司,任珂辉,18639000908,郑州市管城区南四环与京广路交叉口西南角百荣世贸商城D座二层D2-7-163A号
郑州鑫博电子科技有限公司,曹芍药,0371-67136291,郑州市二七区京广路126号20号楼3单元27号
郑州瀚之星广告有限公司,任梦杰,13803862085,郑州市金水区金水路113号丽晶大厦310室
河南永安国际旅行社有限责任公司,孙晓凡,16638151155,郑州市二七区航海路南祥云路东1号楼1单元19层1906
郑州杨氏正骨健康管理有限公司,杨杏丽,13203987910,郑州市郑东新区地润路5号1号楼1层附5
郑州百凯重工有限公司,王红艳,13523573323,荥阳市郑上路东关村南侧
郑州金贝壳教育咨询有限公司,孙航云,13838564651,荥阳市万山路与演武路交叉口毛毛雨花市3楼
郑州千光中贸易有限公司,张斌,18539289890,郑州市金水区东风路28号院6号楼1单元19层1901号
郑州洁宝莱环保科技有限公司,邵卓龙,18003867358,郑州市金水区郑花路64号2层206室
郑州文硕教育咨询有限公司,刘海波,13937170474,郑州市郑东新区聚源路127号9层903号
郑州伟开电气设备有限公司,张赛伟,13253406169,郑州市惠济区双桥弘泰商贸城B区10排22号-1
郑州市鬼斧园艺工程有限公司,张凯丽,15138980696,新郑市陶文路金色家园2506东室
郑州国之中酒业有限公司,李海峰,13346937058,郑州市金水区文化北路106号11号楼30层3001号
郑州通途润滑油有限公司,陶晓娟,13253308860,郑州市管城区南四环与107国道交叉口路东润滑油市场B区附50号
郑州宏学培训学校有限公司,张宏飞,18738137897,郑州市二七区兴华北街18号6楼
郑州市康乐万家日用品有限公司,冯新光,13137118311,荥阳市索河路宾贸大厦7楼702室
郑州至信旧机动车鉴定评估有限公司,付兴峰,0371-65756678,郑州市惠济区开元路98号1号楼12层1216
荥阳恒昌达木材有限公司,许红晨,13592468018,荥阳市广武镇孙砦
郑州澄泓德建材有限公司,王留涛,17734795878,河南自贸试验区郑州片区(郑东)金水东路东风南路交叉口向北绿地新都会A座705室
郑州欧尚鞋业有限公司,王新杰,15136182539,新郑市人民路与解放路交叉口向南50米路东
郑州市品尚广告材料有限公司,王煜,17739772706,郑州市郑东新区商都路1号卖场二20层2051号
郑州佰金软件科技有限公司,时小飞,13837176793,郑州市惠济区南阳路170号院28号楼7层45号
河南鸿雁国际旅行社有限公司新郑门市部,冯炎红,13676991027,新郑市新建路原交通局综合楼南单元二楼南户
郑州立弘电气设备有限公司,郑仁弟,13598870086,郑州市郑东新区康平路与福禄街交叉口东北角奥兰花园16号5号楼3单元5层157号
郑州市五义房地产营销策划有限公司,田巧英,15890034533,郑州市上街区新兴街6幢4单元55号
郑州天畅信息技术有限公司,张岳华,15038305556,郑州市金水区姚砦路133号11幢21层2107号
郑州海通建材有限公司,申晓景,18623715927,郑州市金水区东三街3号院4号楼1单元3号
郑州信策企业管理咨询有限公司,杨巧枝,0371-65526188,郑州市金水区纬五路3号
河南壹柒置业有限公司,周文军,13323964699,郑州市管城区十八里河镇南五里堡村弓庄南街220号4号楼1单元12号
河南楚雨标识标牌有限公司,吴盼盼,13938406696,郑州市郑东新区和光街10号G栋8层34号
河南颖初实业有限公司,李冬冬,15238069030,郑州市中原区中原西路131号湖光苑小区2号楼东2单元6层D
郑州巨昂商贸有限公司,陈登科,13175420149,郑州市金水区农科路25号院1号楼15层1501号
河南远诚电子商务有限公司,郑玉典,17324831883,郑州市郑东新区商鼎路南与心怡路东交叉口永和宇宙星1号楼1306室
河南省莱科多进出口贸易有限公司,王豪帅,18538022448,郑州市郑东新区普惠路80号1号楼1单元20层2024号
郑州雷烁汽车科技有限公司,张伟,18676103534,郑州市中牟县郑庵镇刘桥村村委院内
郑州绿日商务服务有限公司,毛陈生,15989135452,河南自贸试验区郑州片区(郑东)东风南路祥盛街金水东路49号2号楼2单元264号
郑州爱之信网络科技有限公司,郑楷宏,18530809751,郑州经济技术开发区经北二路66号远大理想城28号楼1单元13层1303号
郑州冰鑫建筑劳务有限公司,鄢文峰,13938587468,河南自贸试验区郑州片区(郑东)农业南路正光北街96号1号楼10层65号
新郑市黑娃儿养殖专业合作社,王红圃,15515570889,新郑市观音寺镇闫庄村
广东顺德凤凰优选商业有限公司郑州第三十八分公司,邹勇,18103864626,郑州市金水区东风路28号院15号楼1层商12号
河南鲁安消防技术咨询有限公司,黄秀廷,13253539535,郑州市中原区秦岭路西、建设路北A座12层1209号
