店铺名称,联系电话,地址
晶奕空间专业脱毛连锁机构(国贸店),010-59005973,地址：
锦食送,4000300517,www.jinshisong.com
兄弟易家搬家公司,1391048301/010-62863622,农展馆南路谐阳公园南门西行200米
美丽说,010-82488856,www.meilishuo.com
聚鹏全羊,010-88978615,济钢医院西
药手名家小颜整骨正骨旗舰店,010-64372157,地址：
白领团,010-57105509,www.bailingtuan.com
凯行网,010-64060909/4007227722,http://www.airkx.com/
小龙串串香,17319213027,望京东路4号恒电大厦BC座
Love Wedding奢品汇婚纱会所&潮褂,"13581553990
                      58706610",
山水旅游网,010-68015315,www.gotour.cc
中国零食网,4006000404,www.lingshi.com
日本银座Calla专业脱毛连锁机构(国贸店),010-58691261,地址：
生活半径,4000707360/010-58103600,http://www.shbj.com/
抠电影,010-58772795/4000009666,http://www.komovie.cn/
开心网,400615001,www.kaixin<d001.com
铂爵经典全球旅拍婚纱摄影,"13311167053
                      13381199370",
聚焦摄影环球旅拍,4001102505,
内联升,010-63029959,www.1<d853shop.com
拉手网,4000517317,www.lashou.com
麦乐购,4006666600,www.m<d6go.com
五五茗果香逸葡萄大观园,010-61423006/13717739326,"北务镇北务信信东,京平高速北侧"
139邮箱,0101-0086,mail.1<d39.com
亿家网,010-59004248,www.yijia.com
华军软件园,010-68947456,www.onlinedown.net
泡泡网,010-82607799/010-59857000-7001,www.pcpop.com
聚焦摄影,4001103638,
卡盟汽车网,010-88691838,www.car<d365.org
韩国GRACE KELLY婚纱买手店(北京店),4001760102,
57团网,010-25654556,www.<d57tuan.com
易购网,010-5879481,www.egou.com
花山院日式脱髦美肤沙龙(三里屯店),010-64603281,地址：
联创众业科技有限公司,15100027000,百子湾桥东大成国际CBD摄影城
蒙娜丽莎婚纱摄影(东单总店),4001104244,
洁尔萨洗衣,010-58627065,罗马家园西区4号楼底商
房主儿网,4000981985,www.fangzhur.com
宛霞的店,010-59383672,孙河爱康营家园C区9号楼底商(机场高速苇沟出口)
美Beauty大小脸行业开创者(五道口店),13621307287,地址：
哇噻网,010-59756187/010-59756194,www.wowsai.com
无同复古VINTAGE IMAGE,4000268920-0712,
yoka时尚网,010-65873333,www.yoka.com
酩月汇葡萄酒俱乐部,010-59383418,www.sigwine.com
可团网,010-52585858,www.ketuan.com
荷妍专业永久脱毛连锁机构(三里屯SOHO店),18611718850,地址：
汽车之家,010-59857000-01/010-59857000-02,www.autohome.com.cn
环球网,010-65369565/010-65369588,www.huanqiu.com
环球品汇网,4000040088,www.duhub.com
爱睫物语(三里屯店),010-58427863,地址：
九藏天下网,4000526999,www.jcang.com.cn/
淘票网,010-51666766,www.<d51taopiao.com
影客票务,4006869769/010-64408178-818,www.yingkepiao.com
Travel Zoo旅游族,010-64651500,www.lvyouzu.com
韩国匠艺婚纱摄影(北四环总店),"18701592023
                      13366927922",
N多团,400814168,www.nduotuan.com
快速直达专线42路,010-96166,小沙河信公交场站-地铁回龙观站
Vshen-彩妆造型(璞瑅公馆店),010-57179567,地址：
法国映像FOREVER LOVE,"53325667
                      13683261359",
欣欣小吃店(北七家店),010-56286507,平西府路口
汉圣餐饮,15560276267,桥北马井
宝鼎店右安门店,010-63296884,宝鼎店地址：崇文区东打磨厂街7号一层（新世界百货）电话：010-67087805右安门店地址：丰台区右安门外大街3号一层北侧电话：010-63296884
红河峡谷漂流,13716867777,承德市沈风木大水泉爱红河峡谷漂流
心意随时尚女装,15272452469,青云店镇东赵信西园条20号
大唐国际旅行社有限公司,010-59444768/13522295891,方庄南71号润度大厦912室
章鱼小丸子,15810931406,龙华超市6楼
福牛居,139170567,北房镇恒利街
故宫博物院(故宫),010-85007938/010-85007428,景山前街4号
荟聚中心(西红门店),010-60285656,欣宁街15号
合生汇,010-87705688,西大望路甲22号地铁7号线九14号线九龙山站B口出
中国园林博物馆,010-63915025,射击场路15号
朝阳大悦城,010-85579108,谐阳北路101号(青年路与谐阳北路交叉口)
玉渊潭公园,010-88653800/010-88653775,西三家市路10号(市央电视塔对面)
颐和园,010-6288144,新建宫门路19号
王府中环,010-85648888,南沿河大街王府井大街269号(百货大楼旁)
北京野生动物园,010-89216606/010-89216666,榆垡镇万亩森林(106国道北京森林假日高军夫俱乐部北面)
和密室·日系沉浸式实景剧场密室,18610481044/18501285554,长阳路市粮万科旁半岛万科V公馆3号1006(近市粮万科长阳半岛绿地缤纷城京投港荟聚)
侨福芳草地购物中心,010-56907000,东大桥路北巷9号(尚都SOHO对面)
南宫五洲植物乐园,010-83316030/010-83318649,王佐市心镇南宫信地热博览园内
北京欢乐谷,010-67389898,东四家小武基北路四方桥东南角
深影国际影城(学院南路店),010-53979668,学院南路50号哇沃生活广场3楼
国贸商城,010-65052288,建国门外大街1号(建国门外大街与东三家市路交叉口)
京兆尹,010-84049191/010-84048885,园道营胡同2号(雍九宫5号线G出口旁)
蓝色港湾,010-59056668/010-59056663,谐阳公园路6号二十一世纪对面
尚隐·泉都市生活馆,010-83826666,小屯双林东路8号
八大处公园,010-88964661,八达处路3号
北海公园,010-6403102,文街街1号
金泉港IMAX国际影城,010-59655857,大屯里金泉购物市心318号楼4层
北京世界花卉大观园,010-87500840,南四家市路235号
龙湖北京长楹天街,010-65433638,谐阳北路常营地铁站F出口旁
轻风多肉植物大棚,18210609316,杨家坟31号门前路太子峪信高新果蔬基地
颐堤港,010-84260898,酒仙桥路18号(14号线将台地铁站C出口)
瑞得万国际卡丁车场,010-64306688/010-64306687,崔各庄爱善各庄信来广营东路88号(马泉营奥特莱斯西行2000米)
北京SKP,010-65305888,建国路87号(近现代城)
华熙LIVE(五棵松店),010-68157100,复沈路69-1号(近西四家口)
北京红砖当代美术馆,010-84576669,崔各庄爱何各庄信(马泉营西路路口西100米路北)
北京动物园,010-68390274/010-6831441,西直门外大街137号
天坛公园,010-67028866,天坛东路甲1号(天坛路)
第六季自助餐厅(王府井店),010-65241488/010-65241499,东安门大街55号(王府世纪一层)
喵果儿主题私享影院(百子湾店),18500442235/010-59626259,百子湾东四家辅路大成国际公寓3号楼B座底商110(金吉鸟健身旁)
食宝街,010-5848166,市关信大街15号(e世界财富市心对面)
四季民福烤鸭店(故宫店),010-65267369,南池子大街11号故宫东门旁
黑天鹅法餐·下午茶(杨林旗舰店),010-5385991/010-53859905,天竺机场高速杨林出口向西200米左侧(罗红摄影艺术馆)
古北水镇,010-81008136,古北口镇司马台信
五彩城,010-66006666,清河市街68号(近橡树湾小区)
西单大悦城,010-66517777,西单北大街131号(近地铁1号线，4号线西单站)
北京植物园,010-82598771,香山卧佛寺路
798艺术区,010-59789880,酒仙桥路2号706大厂房(近大山子桥)
游娱联盟沉浸式实景娱乐体验园,4001663666,高碑店路游娱联盟内(王四营爱政府对面)
英皇电影城(英皇集团中心店),010-51208009-817,建外大街丁12号英皇集团市心B1层
光影密室逃脱俱乐部(雍和宫店),010-84078584/18810157295,九平里市街甲14号(5号线九平里北街地铁往南200米路西羽毛球场内)
金融街购物中心,010-66220888,金城坊街2号(近太平桥大街)
Ocean Health瀛朝肠道spa中心,010-58696096,地址：
三里屯太古里,010-6417610,三里屯北路11号
green essence 青籁优体,010-64625556,南三里屯路1号通盈市心洲际酒店5层
罗红摄影艺术馆,010-53859905/4007001399,天竺路6号
飛凡TATTOO纹身(三里屯店),15001192299,地址：
INX戏精学院·宫(四惠店),15510123137/1517958835,富河南街1102号国粹苑B座负一层
星典影城(六里桥店),010-56638890,西三家南路10号月恒正大新生活广场三层
世纪金源购物中心,010-88875888,远大路1号(远大路与蓝靛厂市路交叉口)
莱纳恒泰影城,010-63836886,丰台北路18号（地铁10号线、14号线西局站）恒泰广场E座6层
北京apm,010-58176995,王府井大街138号(近长安街)
滋生小院,19910288731,德威门内大街61号
北京坊,010-63018199,煤市街京房头条交叉口东北角
呀路古热带植物园,010-80218180,长子营镇104国道朱庄北口东200米路北
西山国家森林公园,010-62720291/010-62720251,闵庄路与香山南路交叉口西行100米
莱纳龙域影城,010-62905670,龙域市街1号院1号楼昌发展万科广场5层
影奥莱杜比音效4D私人影院(百子湾四惠店),18600328952/18518136916,四富桥南侧甲1号(伊莎文化广场A座B1)
悠唐购物中心,010-59775858,三丰路三丰北里2号(近谐阳门地铁站)
叶叶菩提·道(西单店),010-66060799,宣武门内大街临1号(华电大厦斜对面)
东风国际花卉市场,4000768900,来广营东路甲12号
北京园博园,010-63915561,射击场路15号
中影星美国际影城（耳东）世贸天阶店,010-52061071,光华路9号世贸天阶商业南街B1层
花乡奥莱村,010-63760688/010-66236600,南四家西路76号
雍和宫,010-84191919,雍九宫大街12号
寰映影城(合生汇店),18601933210,西大望路甲22号院1号楼商业部分5层02号
万达影城(通州万达店),4006090090,新华西街58号万达广场1号楼5层(厨艺宾馆对面)
Met Petal遇见花瓣,18612217761,东二家银河SOHOA座2层10210室
赛特奥莱,010-84357880,香江北路28号(近观唐别墅)
北宫国家森林公园,010-83840830,长辛店镇大灰厂东路55号
Hicool嗨酷蹦床篮球·轰趴团建生日聚会(广渠路店),13691052979/15010902504,双桥市路E50艺术园区M5馆内
行运打边炉(三元里店),010-64160590,三元里街16号(如家酒店北侧)
朝林松源酒店自助餐厅,010-53876996,荣华市路19号谐林松源酒店内(谐林广场内)
中粮祥云小镇,010-60401586,安泰大街9号
耀莱成龙国际影城(五棵松店),010-68189979,复沈路69号蓝色港湾购物市心北区5层
太平洋影城(北京中关村店),010-62508172,融科资讯市心B座-1-2
金逸影城(荟聚IMAX店),010-60200580/010-60200585,欣宁街15号荟聚购物市心H区3层
圆明园,010-62637561/010-62628501,清华西路28号(近地铁4号线圆明园站)
大族广场Mall&amp;More;,010-87532788,经济技术开发区荣华南路2号(荣京东街地铁站西侧)
北遇映画PHOTO GRAPHY STUDIO,4000268920-4692,
奥林匹克森林公园,010-64529060,科荟路33号
学园大逃杀·校园风吃鸡,1861428267/13332458888,谐阳路甘露西园1号楼底商B1(新城市广场东300米，避风阁茶楼东侧15米)
爱琴海购物公园,010-64281,七圣市街12号(近地铁13号线光熙门站)
第六季自助餐厅(西三环店),010-68403333/010-68403018,西三家北路21号久凌大厦北楼二层(北外东门往南100米)
保利剧院(保利大厦店),010-6500188-5682/010-65065345,东直门南大街14号保利大厦1楼(近地铁东四十条站)
恒业影城北京IMAX店,010-63268070,万丰路（地铁9号线、10号线六里桥站）银座九谐广场购物市心5F
鮨龍,18518888805,天泽路19号(近北京草场)
卢米埃影城(长楹天街IMAX店),010-85095626,谐阳北路长楹天街购物市心东区5F-09
八达岭长城,010-69121226/010-69121383,八达岭特区G6京藏高速58号出口
耀莱成龙国际影城(慈云寺店),010-65980898,东四家市路58号远洋未来汇C座2层
重八牛府(花乡奥莱店),010-83717262,南四家西路76号花爱奥莱7号楼304室
北京科学中心,010-83059999,北辰路9号院
景山公园,010-64038098/010-64038095,景山西街44号(故宫后门对面)
Ninety Eight日式美甲美睫(国贸店),010-53320018,地址：
秉梵摄影 STUDIO(北京店),4001761758,
UME国际影城(双井店),010-59037171/010-59037373,东三家市路65号富力广场北区5层
恭王府,010-83288149,什刹海前海西街17号(定阜街路东)
中国油画院,010-56159362,高碑店站文化新街1704号
UME国际影城(安贞店),010-58257733,北三家东路36号家球贸易市心E座1层
凯德MALL(西直门店),010-58301008/010-58301,西直门外大街1号(近西直门地铁)
中影国际影城(丰台千禧街店),010-88177970,靛场路千禧商业街4号楼
飞行家太空体验馆(祥云小镇店),010-64828912/138192372,安泰大街6号院12号楼(市粮祥云小镇南区)
百丽宫影城(国贸店),010-85351808,建国门外大街1号国贸商城北区B1层B120
北京汽车博物馆,010-63756666,南四家西路126号
八达岭奥特莱斯outlets,010-50895888,南口镇陈庄京藏高速公路陈庄出口北侧
自由人影城(世界之花假日广场店),010-67966770,旧宫镇久敬庄路世界之花假日广场5层
凯德Mall(天宫院店),010-60272088,华佗路2号(天宫院地铁站旁)
自如Z-SPACE,4001001-771840,协作胡同<d40号
嘉华国际影城(学清路店),010-82732228,学清路甲8号圣熙8号购物市心5层西侧(学清路)
金逸影城(朝阳大悦城IMAX店),010-85517099,谐阳北路101号谐阳大悦城商场8层
耀莱成龙国际影城(王府井店),010-65273227,王府井大街301号新燕莎金街购物广场地下1层MB124
国家大剧院,010-66550000,西长安街2号(近人民大会堂西门)
北京明城墙遗址公园,010-65270574/010-65270080,崇文区崇文门东大街9号
首创奥特莱斯,010-80368332/010-80368355,长阳镇悦盛路6号院(出收费站向东过长阳家岛直行1500米)
永旺梦乐城(丰台店),010-83362525,丰葆路88号院1号楼
重八牛府(学院路店),010-59724289,学清路10号院1号楼学清嘉创大厦A座2层(麦当劳楼上)
北京乐多港万豪酒店汤乐宫温泉,010-81918016/010-81918018,城南街道南口路29号乐多港万豪酒店地下一层汤乐宫
红星太平洋影城太阳宫店,13240925559,七圣市街12号院爱琴海购物市心6层(近地铁13号线光熙门站)
比高电影城(来广营店),010-84903279,香宾路66号百安居2层
DREAM WEAVING婚纱礼服原创设计,4000268920-9996,
满恒记清真涮羊肉,010-66517188,平安里西大街14号(平安里西大街与赵登禹路交叉口西南角)
牛排家(澳门中心店),010-58405488/18701575316,金鱼胡同王府井东街8号澳门市心1层
北京自然博物馆,010-67031637/010-67027702,天桥南大街126号
晓岛,13810147859,谐阳北路101号谐阳大悦城9F度刻空间内
炖菜馆,18514646533,青年路谐阳大悦城西门对面停车场内
梧桐,010-643818/010-64388883,霄云桥外芳园西路6号(近丽都花园南门)
中国美术馆,010-64001476,园四大街1号
福楼毕斯罗F.Bistronome(国贸商城店),010-85959597,建国门外大街1号国贸商城北区七层NL7005号(数码01大厦南侧)
TFS超级密室(双桥店),4001040010,西柳巷36号水郡长安二号院(7天连锁酒店传媒大学南门店旁底商)
下酒·烧肉小酒馆,010-64710599/17778024881,阜通东大街与广顺南大街交叉路口悠乐汇A3座一层底商120号
首都电影院(悦荟万科广场店),010-60749993-601,南家路10号院1号楼悦荟万科广场8层
和·猫舍,1340126523/13522518726,光华北一街双花园南里二区CBD总部公寓二期9号楼一层5号商铺(北京富力万丽酒店)
牛排家(三里屯店),010-57809041/150101390,南三里屯路通盈市心3层
凤凰汇购物中心,010-57781977/010-57781966,京密路曙光西里甲5号院
湘爱(工体店),010-53520033/010-53521533,工人体育场东路工人体育场东2门旁
中海环宇荟购物中心,010-57752666,北土城路与安定路西北角(安贞门地铁站A口)
拾久,010-87774388/010-87774188,东三家市路61号麦乐迪对面
黄花城水长城景区,010-61651818/010-61651,九渡河镇西水峪信
Oscat奥斯卡猫·猫舍(未来假日花园店),010-87588862/18618339958,马家堡路未来假日花园别墅区内3006栋(地铁4号线公益西桥站)
北京世界公园,010-83613685/010-83613681,花爱大葆台158号
苏盛记汉服体验,15210786334,杨梅竹斜街38号(北京坊)
斯普瑞斯奥特莱斯,010-84340006,金盏爱森林公园东1号
AMERICAN EAGLE(蓝色港湾国际商区店),010-59056252,谐阳公园路6号SOLANA蓝色港湾A023/A114
美嘉欢乐影城(中关村店),010-59863777,市关信大街15号市关信广场购物市心街乐汇3楼(地铁市关信站D口出西侧)
锦府盐帮•李宅(中关村欧美汇店),010-82887182/010-82887752,丹棱街甲1号欧美汇购物市心6层
UME国际影城(华星店),010-8215566/010-8212851,双榆树科学院南路44号(双安商场对面)
G·Steps 街舞培训机构(新中关店),13552097365,地址：
曲廊院,010-84038229,东四十一条25号
攀成钢小郡肝串串香(海淀直营总店),010-62666123,成府路29号(国际食尚苑B区3层南侧)
龙湖北京大兴天街,010-52803300,永沈路七号院龙湖大沈天街(地铁4号线生物医药基地站)
哈哈哈士奇宠咖体验店,010-60789309/15652375286,回龙观西大街9号
八旗烤肉(什刹海店),010-83288670,什刹海街道三不老胡同2号
熔时·FIRESIDE(世界城店),010-85999580,金汇路9号E座1层E132-E222-E232
高兴火锅(五道口店),010-82362815/010-82362627,成府路35号园道口东源大厦6层(临近清华大学，林业大学，北京语言大学)
小大董(三元桥店),010-56383185,三元桥凤凰路凤凰汇购物市心三层
大董(工体店),010-6551808/010-6551806,工人体育场东路工人体育场东门北侧
第六季自助餐厅(甜水园店),010-65015827/010-65016827,甜水园街甜水园北里16号楼甜水园图书市场一层南侧
质能站(太阳飘亮购物中心店),18401748928/1590124248,安立路68号太阳飘亮购物市心2层
新中关购物中心,010-82486688/010-82486666,市关信大街19号(近丹棱街)
CGV星星影城(颐堤港店),010-84260800,酒仙桥路18号颐堤港4层(将台地铁站)
万达影城(丰台店),010-83890606-820/18515925822,丰科路6号万达广场6层
心也·EIGHTEEN高端私人轰趴体验馆,13552403061,北花园金家信市街6号吉里国际艺术区W1-G02
罗兰湖餐厅,010-64380881/010-64380877,芳园西路6号(丽都花园)
华夏影城(环宇荟店),010-87726788,安定路6号家宇荟5层(安贞门地铁站B口)
大岭沟猕猴桃谷风景区,010-89721408,长陵镇大岭沟信北侧山谷
Hi-Fun竞技主题乐园·蹦床团建生日聚会(五棵松华熙店),13810618751,复沈路69号华熙LIVE(园棵松凯迪拉克市心南侧)
天幕新彩云国际影城,010-58092222/010-58092178,北三家市路市视云投大厦(北太平桥西远望楼宾馆市央新影集团)
海棠花溪,010-82838778,北土城东路甲100号元大都遗址公园
潭柘寺,010-60862505,潭柘寺镇潭柘寺风景区
反弹工厂蹦床公园,010-67205058,化工路5号垡头产业园泓彤体育院内
百望山森林公园,010-62884356,镇山扈北口19号
慕田峪长城,010-61626022/010-61626876,渤海镇慕田峪家岛
嘉华国际影城(活力东方店),010-5193399,姚家园路甲1号活力东方奥特莱斯购物市心4楼(姚家园)
Tomacado花厨(王府中環店),18600038056,王府井大街269号王府市家东座4层402号商铺
恒泰广场,010-53556565,丰台北路18号
欧美汇购物中心,010-82483388,市关信丹棱街甲1号(近新市关购物市心)
来福士中心,010-64055993,东直门南大街1号(东直门立交桥西南)
THE TACO BAR,010-65016026,工人体育场北路机电工程院市国银行正对面
第六季自助餐厅(北太平庄店),010-62355067/010-62355068,北太平庄路豪威大厦一楼
Yue Show悦容秀半永久纹眉纹眼线(三里屯店),18519511443,地址：
四季民福烤鸭店(南礼士路店),010-68036590,南礼士路44号
海底捞火锅智慧餐厅(中骏世界城店),010-65018449/010-65017449,金汇路8-9号楼市骏世界城E座负一层B1-04号
HerssayCouture 赫晞婚纱礼服高级定制租赁,"18612008838
                      18510106441",
Page One(北京坊店),010-63183761,前门西河沿街9号(近北京坊)
卢米埃影城(芳草地店),010-56907679,东大桥路9号侨福芳草地购物市心LG2-26(尚都SOHO对面)
世贸天阶THE PLACE,010-6587188,光华路9号(近东大桥路)
盘子古装馆古装摄影（底片全送）(北京店),4001761506,
Tomacado花厨(三里屯店),18610023354,东三家北路27号嘉铭市心B座B1层(近嘉盛市心，近八十市学)
vfly蹦床公园(斯普瑞斯奥特莱斯店),010-84399610,金盏爱森林公园东1号斯普瑞斯奥特莱斯B区3层
枫花园汽车电影院(朝阳公园店),010-64329884/010-64319595,亮马桥路21号(谐阳公园北门对面)
中山公园,010-66055431,市华路4号(天安门西侧)
叶叶菩提(国贸总店),13552686209,光华路2号楼阳光100F座底商
南宫鹦鹉园,010-83318649,王佐镇南宫南路1号(南宫世界地热博览园内)
耀莱成龙国际影城(丽泽桥店),010-83733877,西三家南路甲27号居然之家5层
保利国际影城(绿地缤纷城店),010-80255600,金星西路3号绿地缤纷城东岸4层
朝阳公园,010-65953490,农展南路1号
美嘉欢乐影城(三里屯店),010-6417618,三里屯北路19号三里屯太古里南区B2层
叶叶菩提花(万达店),010-52903055,建国路93号院19号楼1层115-116号(近西区停车场、如家酒店往南20米)
曲水兰亭,010-56228777/010-87796666,富河南街通富河畔文化产业园1070号
大料国际影城(创意生活广场店),010-67859009,亦庄经济开发区文化园东路6号创意生活广场三层
华谊兄弟影院(IMAX洋桥店),010-56530888,马家堡东路101号院10号银泰百货6层地铁10号线角门东站D口
国瑞购物中心,010-6710808,崇文门外大街18号(近西花市大街)
东方新天地,010-85186363,东长安街1号
唐·骊山TLS by,13146002180,工人体育场西路甲7号东迎坊一层101(那片海东30米)
什刹海,010-84018677/010-84038677,地安门西大街49号
铃木食堂(前门店),010-63135409,杨梅竹斜街10-14号(近大栅栏商业街)
保利国际影城(华贸天地店),010-84870622,清河营南街七号院华贸天地东区B2层
南门涮肉(东单店),010-85628899,建国门内大街26号新闻大厦3层
虞美人古装写真馆(底片全送北京店),4000268920-1213,
Green Option 应季有机餐厅(官舍店),010-85326178,东方东路19号1号楼会所41号
四季民福烤鸭店(东四十条店),010-64013267,东四十条23号(公交车站西侧)
满福楼,010-64030992/010-64053088,谐阳门外大街8号蓝岛大厦东区六层(东大桥地铁站D2出口)
柔氏小颜整骨幸福研究院(三里屯店),15010296755,地址：
器生茶时,18610946616,东直门北小街草园胡同37号
牛排家(安贞店),010-56286728/1367129359,安定路5号院6号楼市海家宇荟购物市心四层
本然造物傳習館,1533025196/13466582271,杨梅竹斜街79号(杨梅竹斜街路口)
宝屋日料,010-59724070,三里屯南路通盈市心三层
远洋未来广场,010-64137060,北四家东路73号(近北京联合大学，育慧里)
局气(德云社店),010-68008088,新街口北大街光泽胡同甲1号8栋
四季民福烤鸭店(工体店),010-65538608,工体东路工人体育场东门辅路向南100米小东门内
CGV影城(清河店),010-82816767,清河市街68号华润园彩城购物市心东区7层
蒹葭柑鹿·REEDMANNA,010-5287313/18210277098,协九胡同22号(近外交部街)
完美云太狼影城,010-59154998,管庄美廉美超市（云影小镇）一层
Bada kitchen,010-62534093/15901233258,双榆树北路知春里甲10号商务楼一层
中国科学技术馆,010-59041000,北辰东路5号
消逝的光芒-沉浸式剧场,13264323987/18208861842,阜通西大街望京西园三区小区内314号楼B座旁
红螺寺,010-60681639/010-6068175,怀柔镇卢庄信北红螺东路2号
香守·花胶鸡海鲜火锅,010-59696666,华贸广场路华贸jw万豪酒店2层
X先生密室&amp;MRX;桌游轰趴馆(三里屯店),010-8405917/010-84059160,工体北路13号世茂工三商场西南角2F(三里屯工体北门对面)
天安门广场,010-63095745,东长安街16号
红枫湖温泉酒店,010-61717147,国家农业科技示范园西区园内航空博物馆红绿灯向西30米路北(航空博物馆红绿灯向西30米路北)
居庸关长城,010-69771665/010-69783167,南口镇居庸关信
姚记肚包肉,010-58375002,枣林前街牛街西里二区11号楼107号(晋阳饭庄向东约50米)
Hello Mart城市市集,010-5382214,亮马桥路48号
万达影城(西铁营万达广场店),010-59603399,西铁营市路1号万达广场七层万达影城
陶然亭公园,010-6351596,太平街19号(护城河北岸)
浮城·高端轻奢酒吧私人影院(望京旗舰店),157133516/17344428167,北京望京湖光市街鹏景阁17层1706(星巴克、市国银行左侧大厦入口)
沃美影城(常营店),010-56857007,谐阳北路17号华联购物市心西区4层
vfly蹦床公园(大兴店),010-84399710,永大路32号TSC道境运动市心内
北京国际鲜花港,010-61417123,杨镇红寺信北鲜花港南路9号
巴奴毛肚火锅(悠唐购物中心店),4000232577/010-65888377,谐外南街与谐外市场街交叉口悠唐购物市心4层
手作上瘾定制DIY金丝彩绘工作室,1381384271/1381266642,东柏街10号5号楼3层S211(爱尚手酒肉小馆门口上电梯、双井站B出口)
观复博物馆,010-64338887/15801358850,大山子张万坟金南路18号
耀莱成龙国际影城(西红门店),010-80255335,欣旺北大街8号鸿坤广场6层(地铁4号线西红门站Ｂ口向东４００米路北)
首都博物馆,010-63370491/010-63370492,复沈门外大街16号(近白云路)
四季民福烤鸭店(王府井店),010-65238571,东安门大街53号万程华府酒店1楼
老乾杯(王府中环店),010-65263699/17310397720,王府井大街269号王府市家西座4层406商铺
AC TATTOO 纹身(三里屯店),13699249911,地址：
大运河森林公园,010-61569200,宋梁路北运河桥南
唐阁影城(亦庄店),010-52595199,经济技术开发区荣华市路8号院华联力宝购物市心四层
香山公园,010-62599886,买卖街40号
RÓNG BAR,010-85323665,三里屯东三街4-5号(意大利家庭料理旁边)
三泉冷面(旺角店),010-64753077,望京南湖北路旺角广场北门4楼(南湖东园)
活力天宝国际影城,010-82994660,祁家豁子8号健翔大厦家乐福超市B1层
悦荟万科广场,010-89736999/010-89736917,南家路10号院1号楼(昌平京藏高速30出口向东800米)
Cafe Ruhe 如何餐厅,010-65005639,工体北路甲2号盈科市心A座裙房1层102及2层202室
央·美术馆,010-59056678,谐阳公园路6号SOLANA蓝色港湾14号楼三层A302
中传国际影城(亦庄店),010-87227162,科创园街38号城爱世纪广场C座3层F3-C3006
热炼普拉提健身工作室(国贸店),15737176027/15810278345,通富河辅路建外SOHO西区15号楼1702室(国贸、双井、永安里、建国门大厦)
伊豆野菜村(金融街购物中心店),010-66220360,金城坊街2号金融街购物市心1期4层
米高梅国际影城(工体店),010-58010588,工体北路21号永利国际购物市心B1
我的餐厅3D全息音乐蒸汽石锅鱼,010-64179619/010-64179709,霄云路庆安大厦二层西侧
银座和谐广场,010-63267938/010-63268686,万丰路68号
卢米埃影城(住总万科店),010-50927566,忠凉路万科广场5层(地铁旧宫站)
四季民福烤鸭店(前门店),010-63013882,大栅栏街1号(大栅栏街九珠宝市街交汇处)
老佛爷百货,010-59629777,西单北大街110号(婚庆公司斜对面)
懒猫摄影studio写真馆,4001102419,
韩国艺匠ARTIZ STUDIO(东直门店),4001781667,
胡大饭馆(簋街总店),010-6400351/010-64066188,东直门内大街233号
行运打边炉(工体店),010-65529801/13699210310,工人体育场北路15号VICS旁
Poke Inn,18210016701,工体北路8号院三里屯SOHO5号商场2层5-210号
暴风岛多结局沉浸式密室(鸟巢店),17710566561/1381426908,安慧北里逸园28号楼逸园商务楼地下一层(工商银行对面，花舍咖啡厅九市国银行之间)
